drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge,0.1,111,178,1,0.5555534022368406,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,112,178,0,0.08552880242559568,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,113,178,1,0.9886579830615642,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,114,178,0,0.4568905020937797,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,115,178,0,0.4415974455417825,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,116,178,1,0.9887866928571675,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,117,178,1,0.9502959269862744,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,118,178,0,0.13499217417021053,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,119,178,1,0.5041509574898886,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,120,178,0,4.387289293068551e-05,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,121,178,0,0.16995751244568613,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,122,178,0,0.2925541565087042,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,123,178,0,0.08963713464374515,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,124,178,0,0.07917935485357648,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,125,178,0,0.13911219228418448,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,126,178,0,0.014147843879737365,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,127,178,1,0.9945669111102226,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,128,178,1,0.7840896605866728,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,129,178,1,0.7170651110480843,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,130,178,0,0.33060477558907975,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,131,178,0,0.13320204155791837,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,132,178,0,0.406723509072868,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,133,178,0,0.04453997301271928,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,134,178,1,0.5685392053535708,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,135,178,0,0.010925222872845676,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,136,178,0,0.2842625960882259,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,137,178,0,0.012281771090062866,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,138,178,0,0.008620706665557086,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,139,178,1,0.9252990613931787,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,140,178,0,0.2807551070783432,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,141,178,0,0.18224249452591437,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,142,178,0,0.050322579121485175,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,143,178,0,0.005375800946017762,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,144,178,1,0.5702837225048231,0
