,Patient,Gene1,Gene2,Edge,Curvature,Response
257,A549_LUNG,KIF2C,MELK,KIF2C;MELK,0.43,0
258,A549_LUNG,KIF2C,PLK1,KIF2C;PLK1,0.18,0
259,A549_LUNG,KIF2C,BIRC5,KIF2C;BIRC5,0.36,0
260,A549_LUNG,KIF2C,AURKB,KIF2C;AURKB,0.41,0
261,A549_LUNG,KIF2C,UBE2C,KIF2C;UBE2C,0.43,0
262,A549_LUNG,KIF2C,KIF14,KIF2C;KIF14,0.27,0
263,A549_LUNG,KIF2C,NUSAP1,KIF2C;NUSAP1,0.39,0
264,A549_LUNG,KIF2C,CDK1,KIF2C;CDK1,0.16,0
265,A549_LUNG,KIF2C,KIF20A,KIF2C;KIF20A,0.49,0
266,A549_LUNG,KIF2C,CCNA2,KIF2C;CCNA2,0.11,0
267,A549_LUNG,KIF2C,TOP2A,KIF2C;TOP2A,0.41,0
268,A549_LUNG,KIF2C,CDC20,KIF2C;CDC20,0.35,0
269,A549_LUNG,KIF2C,CDC45,KIF2C;CDC45,0.1,0
270,A549_LUNG,CAPN1,BAX,CAPN1;BAX,-0.47,0
271,A549_LUNG,CAPN1,BID,CAPN1;BID,-0.47,0
272,A549_LUNG,CLTB,CLTC,CLTB;CLTC,-0.75,0
273,A549_LUNG,CLTB,EPN2,CLTB;EPN2,0.79,0
274,A549_LUNG,DRAP1,TBP,DRAP1;TBP,0.09,0
275,A549_LUNG,PTPN1,PTPRF,PTPN1;PTPRF,0.33,0
276,A549_LUNG,PTPN1,SRC,PTPN1;SRC,-0.58,0
277,A549_LUNG,PTPN1,IGF1R,PTPN1;IGF1R,-0.15,0
278,A549_LUNG,PRKACA,NFKBIA,PRKACA;NFKBIA,-0.4,0
279,A549_LUNG,PRKACA,BAX,PRKACA;BAX,-1.1,0
280,A549_LUNG,PRKACA,FOS,PRKACA;FOS,-0.04,0
281,A549_LUNG,PRKACA,IGF1R,PRKACA;IGF1R,-0.23,0
282,A549_LUNG,PRKACA,JUN,PRKACA;JUN,-0.26,0
283,A549_LUNG,PRKACA,PTK2,PRKACA;PTK2,-0.31,0
284,A549_LUNG,PRKACA,CSNK1E,PRKACA;CSNK1E,-0.43,0
285,A549_LUNG,PRKACA,CREB1,PRKACA;CREB1,0.05,0
286,A549_LUNG,PRKACA,FOXO3,PRKACA;FOXO3,-0.16,0
287,A549_LUNG,PRKACA,RHOA,PRKACA;RHOA,-0.58,0
288,A549_LUNG,PRKACA,BAD,PRKACA;BAD,-0.18,0
289,A549_LUNG,PRKACA,NCOA3,PRKACA;NCOA3,-0.05,0
290,A549_LUNG,FOS,CCND1,FOS;CCND1,-4.74,0
291,A549_LUNG,FOS,STAT3,FOS;STAT3,-4.76,0
292,A549_LUNG,FOS,NCOA3,FOS;NCOA3,-1.38,0
293,A549_LUNG,FOS,MAPK9,FOS;MAPK9,-5.64,0
294,A549_LUNG,FOS,JUN,FOS;JUN,-3.85,0
295,A549_LUNG,FOS,SRC,FOS;SRC,-6.21,0
296,A549_LUNG,FOS,SMAD3,FOS;SMAD3,-5.28,0
297,A549_LUNG,FOS,CREB1,FOS;CREB1,-4.31,0
298,A549_LUNG,FOS,MYC,FOS;MYC,-6.54,0
299,A549_LUNG,FOS,STAT1,FOS;STAT1,-4.29,0
300,A549_LUNG,TFDP1,CDK2,TFDP1;CDK2,0.27,0
301,A549_LUNG,TFDP1,RB1,TFDP1;RB1,0.32,0
302,A549_LUNG,TFDP1,SMAD3,TFDP1;SMAD3,0.28,0
303,A549_LUNG,TFDP1,CCNA2,TFDP1;CCNA2,0.19,0
304,A549_LUNG,PHKB,PHKG2,PHKB;PHKG2,0.67,0
305,A549_LUNG,SMC3,PLK1,SMC3;PLK1,-0.33,0
306,A549_LUNG,SMC3,PDS5A,SMC3;PDS5A,0.5,0
307,A549_LUNG,SMC3,SMC1A,SMC3;SMC1A,0.51,0
308,A549_LUNG,APBB2,APP,APBB2;APP,-1.81,0
309,A549_LUNG,LRPAP1,RALA,LRPAP1;RALA,0.39,0
310,A549_LUNG,LRPAP1,RALGDS,LRPAP1;RALGDS,0.41,0
311,A549_LUNG,STXBP1,STX1A,STXBP1;STX1A,-1.05,0
312,A549_LUNG,STXBP1,STX4,STXBP1;STX4,-1.01,0
313,A549_LUNG,ETFB,HSD17B10,ETFB;HSD17B10,0.18,0
314,A549_LUNG,CCNE2,SKP1,CCNE2;SKP1,-2.56,0
315,A549_LUNG,CCNE2,CDK2,CCNE2;CDK2,-1.67,0
316,A549_LUNG,CCNE2,RB1,CCNE2;RB1,-1.8,0
317,A549_LUNG,CCNE2,CCNB2,CCNE2;CCNB2,-2.94,0
318,A549_LUNG,CCNE2,CDC25A,CCNE2;CDC25A,-1.18,0
319,A549_LUNG,CCNE2,PCNA,CCNE2;PCNA,-2.89,0
320,A549_LUNG,CCNE2,CDK1,CCNE2;CDK1,-2.65,0
321,A549_LUNG,CCNE2,CDKN1A,CCNE2;CDKN1A,-1.27,0
322,A549_LUNG,CCNE2,CCNA2,CCNE2;CCNA2,-2.42,0
323,A549_LUNG,SMC1A,PLK1,SMC1A;PLK1,-0.18,0
324,A549_LUNG,SMC1A,PDS5A,SMC1A;PDS5A,0.38,0
325,A549_LUNG,SMC1A,BRCA1,SMC1A;BRCA1,-0.2,0
326,A549_LUNG,PTK2,NCK2,PTK2;NCK2,0.28,0
327,A549_LUNG,PTK2,PTPN12,PTK2;PTPN12,0.34,0
328,A549_LUNG,PTK2,PIK3R3,PTK2;PIK3R3,0.42,0
329,A549_LUNG,PTK2,PIK3CA,PTK2;PIK3CA,0.37,0
330,A549_LUNG,PTK2,STAT3,PTK2;STAT3,0.2,0
331,A549_LUNG,PTK2,PXN,PTK2;PXN,0.37,0
332,A549_LUNG,PTK2,ERBB2,PTK2;ERBB2,0.25,0
333,A549_LUNG,PTK2,ITGB5,PTK2;ITGB5,0.27,0
334,A549_LUNG,PTK2,CRK,PTK2;CRK,0.38,0
335,A549_LUNG,PTK2,FOXO3,PTK2;FOXO3,0.26,0
336,A549_LUNG,PTK2,AKT1,PTK2;AKT1,0.14,0
337,A549_LUNG,PTK2,CRKL,PTK2;CRKL,0.33,0
338,A549_LUNG,PTK2,RHOA,PTK2;RHOA,0.17,0
339,A549_LUNG,PTK2,CTTN,PTK2;CTTN,0.22,0
340,A549_LUNG,PTK2,ARHGEF2,PTK2;ARHGEF2,0.02,0
341,A549_LUNG,PTK2,ARHGEF12,PTK2;ARHGEF12,0.43,0
342,A549_LUNG,PTK2,CDC42,PTK2;CDC42,0.34,0
343,A549_LUNG,PTK2,STAT1,PTK2;STAT1,0.25,0
344,A549_LUNG,PTK2,SHC1,PTK2;SHC1,0.27,0
345,A549_LUNG,PTK2,IGF1R,PTK2;IGF1R,0.29,0
346,A549_LUNG,PTK2,SRC,PTK2;SRC,0.28,0
347,A549_LUNG,PTK2,NCK1,PTK2;NCK1,0.32,0
348,A549_LUNG,TIMELESS,RPA3,TIMELESS;RPA3,0.18,0
349,A549_LUNG,TIMELESS,SMARCC1,TIMELESS;SMARCC1,-0.38,0
350,A549_LUNG,TIMELESS,RPA1,TIMELESS;RPA1,0.17,0
351,A549_LUNG,TIMELESS,RPA2,TIMELESS;RPA2,0.3,0
352,A549_LUNG,TIMELESS,TP53BP1,TIMELESS;TP53BP1,0.23,0
353,A549_LUNG,TIMELESS,CHEK1,TIMELESS;CHEK1,0.09,0
354,A549_LUNG,TIMELESS,CDC45,TIMELESS;CDC45,0.02,0
355,A549_LUNG,AKT1,FKBP4,AKT1;FKBP4,-0.24,0
356,A549_LUNG,AKT1,STUB1,AKT1;STUB1,-0.22,0
357,A549_LUNG,AKT1,CCND1,AKT1;CCND1,0.13,0
