,Patient,Gene1,Gene2,Edge,Curvature,Response
187,A549_LUNG,HSP90AA1,STAT3,HSP90AA1;STAT3,0.26,0
188,A549_LUNG,HSP90AA1,NCOR1,HSP90AA1;NCOR1,0.33,0
189,A549_LUNG,HSP90AA1,ERBB2,HSP90AA1;ERBB2,0.27,0
190,A549_LUNG,HSP90AA1,CALR,HSP90AA1;CALR,0.11,0
191,A549_LUNG,HSP90AA1,MYC,HSP90AA1;MYC,0.12,0
192,A549_LUNG,HSP90AA1,RAF1,HSP90AA1;RAF1,0.29,0
193,A549_LUNG,HSP90AA1,IKBKB,HSP90AA1;IKBKB,0.33,0
194,A549_LUNG,HSP90AA1,CDKN1A,HSP90AA1;CDKN1A,0.18,0
195,A549_LUNG,HSP90AA1,HSP90AB1,HSP90AA1;HSP90AB1,0.35,0
196,A549_LUNG,HSP90AA1,DCTN1,HSP90AA1;DCTN1,0.3,0
197,A549_LUNG,HSP90AA1,SRC,HSP90AA1;SRC,0.16,0
198,A549_LUNG,HSP90AA1,HIF1A,HSP90AA1;HIF1A,0.39,0
199,A549_LUNG,HSP90AA1,AKT2,HSP90AA1;AKT2,0.38,0
200,A549_LUNG,HSP90AA1,MTOR,HSP90AA1;MTOR,0.35,0
201,A549_LUNG,HSP90AA1,BRAF,HSP90AA1;BRAF,0.19,0
202,A549_LUNG,HSP90AA1,AKT1,HSP90AA1;AKT1,0.15,0
203,A549_LUNG,HSP90AA1,ABL1,HSP90AA1;ABL1,0.37,0
204,A549_LUNG,NUP98,RANBP2,NUP98;RANBP2,0.07,0
205,A549_LUNG,NUP98,MSI2,NUP98;MSI2,0.22,0
206,A549_LUNG,NUP98,KDM5A,NUP98;KDM5A,-0.0,0
207,A549_LUNG,NUP98,XPO1,NUP98;XPO1,-0.21,0
208,A549_LUNG,NUP98,NSD1,NUP98;NSD1,0.22,0
209,A549_LUNG,MLLT10,MLLT1,MLLT10;MLLT1,0.4,0
210,A549_LUNG,MLLT10,ELL,MLLT10;ELL,0.24,0
211,A549_LUNG,MLLT10,MLLT6,MLLT10;MLLT6,0.51,0
212,A549_LUNG,MLLT10,AFF1,MLLT10;AFF1,0.44,0
213,A549_LUNG,MLLT10,PICALM,MLLT10;PICALM,-0.9,0
214,A549_LUNG,MLLT10,KMT2A,MLLT10;KMT2A,-0.08,0
215,A549_LUNG,HIF1A,MAPK1,HIF1A;MAPK1,0.35,0
216,A549_LUNG,HIF1A,CCND1,HIF1A;CCND1,0.39,0
217,A549_LUNG,HIF1A,VHL,HIF1A;VHL,0.5,0
218,A549_LUNG,HIF1A,MDM2,HIF1A;MDM2,0.36,0
219,A549_LUNG,HIF1A,CREBBP,HIF1A;CREBBP,0.39,0
220,A549_LUNG,HIF1A,EP300,HIF1A;EP300,0.31,0
221,A549_LUNG,HIF1A,STAT3,HIF1A;STAT3,0.41,0
222,A549_LUNG,HIF1A,SMAD3,HIF1A;SMAD3,0.22,0
223,A549_LUNG,HIF1A,FOXO3,HIF1A;FOXO3,0.39,0
224,A549_LUNG,HIF1A,ARNT,HIF1A;ARNT,0.55,0
225,A549_LUNG,HIF1A,JUN,HIF1A;JUN,0.34,0
226,A549_LUNG,HIF1A,HSP90AB1,HIF1A;HSP90AB1,0.21,0
227,A549_LUNG,HIF1A,SRC,HIF1A;SRC,0.28,0
228,A549_LUNG,HIF1A,AKT1,HIF1A;AKT1,0.36,0
229,A549_LUNG,HIF1A,CTNNB1,HIF1A;CTNNB1,0.3,0
230,A549_LUNG,HIF1A,MYC,HIF1A;MYC,0.37,0
231,A549_LUNG,FBXW7,CCNE1,FBXW7;CCNE1,-0.76,0
232,A549_LUNG,FBXW7,PIK3CA,FBXW7;PIK3CA,-1.0,0
233,A549_LUNG,FBXW7,MTOR,FBXW7;MTOR,-1.27,0
234,A549_LUNG,FBXW7,NFKB2,FBXW7;NFKB2,-1.53,0
235,A549_LUNG,FBXW7,JUN,FBXW7;JUN,-1.43,0
236,A549_LUNG,FBXW7,PTEN,FBXW7;PTEN,-0.71,0
237,A549_LUNG,FBXW7,CTNNB1,FBXW7;CTNNB1,-1.23,0
238,A549_LUNG,FBXW7,MYC,FBXW7;MYC,-1.1,0
239,A549_LUNG,MAP2K2,MAPK1,MAP2K2;MAPK1,0.16,0
240,A549_LUNG,MAP2K2,KRAS,MAP2K2;KRAS,0.35,0
241,A549_LUNG,MAP2K2,PRKACA,MAP2K2;PRKACA,0.19,0
242,A549_LUNG,MAP2K2,ARAF,MAP2K2;ARAF,0.5,0
243,A549_LUNG,MAP2K2,MAP2K1,MAP2K2;MAP2K1,0.52,0
244,A549_LUNG,MAP2K2,BRAF,MAP2K2;BRAF,0.24,0
245,A549_LUNG,MAP2K2,PPP2R1A,MAP2K2;PPP2R1A,0.16,0
246,A549_LUNG,MAP2K2,RAF1,MAP2K2;RAF1,0.26,0
247,A549_LUNG,MAP2K2,HRAS,MAP2K2;HRAS,0.31,0
248,A549_LUNG,CTNND1,ERBB2,CTNND1;ERBB2,0.07,0
249,A549_LUNG,CTNND1,CTNNA1,CTNND1;CTNNA1,0.31,0
250,A549_LUNG,CTNND1,MET,CTNND1;MET,0.24,0
251,A549_LUNG,CTNND1,ARHGAP35,CTNND1;ARHGAP35,0.32,0
252,A549_LUNG,CTNND1,CTNNB1,CTNND1;CTNNB1,0.09,0
253,A549_LUNG,CTNND1,RHOA,CTNND1;RHOA,0.05,0
254,A549_LUNG,BRIP1,FANCE,BRIP1;FANCE,-3.45,0
255,A549_LUNG,BRIP1,BRCA1,BRIP1;BRCA1,-0.36,0
256,A549_LUNG,BRIP1,BLM,BRIP1;BLM,0.02,0
257,A549_LUNG,BRIP1,FANCD2,BRIP1;FANCD2,0.11,0
258,A549_LUNG,BRIP1,FANCG,BRIP1;FANCG,0.2,0
259,A549_LUNG,BRIP1,ATM,BRIP1;ATM,-0.36,0
260,A549_LUNG,BRIP1,PMS2,BRIP1;PMS2,-0.2,0
261,A549_LUNG,BRIP1,BRCA2,BRIP1;BRCA2,-0.21,0
262,A549_LUNG,BRIP1,BARD1,BRIP1;BARD1,-0.01,0
263,A549_LUNG,BRIP1,ERCC3,BRIP1;ERCC3,-0.67,0
264,A549_LUNG,BRIP1,NBN,BRIP1;NBN,0.05,0
265,A549_LUNG,BRIP1,FANCC,BRIP1;FANCC,0.22,0
266,A549_LUNG,BRIP1,WRN,BRIP1;WRN,-0.13,0
267,A549_LUNG,BRIP1,FANCF,BRIP1;FANCF,0.17,0
268,A549_LUNG,CCND1,PTEN,CCND1;PTEN,0.34,0
269,A549_LUNG,CCND1,RB1,CCND1;RB1,0.38,0
270,A549_LUNG,CCND1,BRAF,CCND1;BRAF,0.17,0
271,A549_LUNG,CCND1,AKT1,CCND1;AKT1,0.3,0
272,A549_LUNG,CCND1,CDKN1B,CCND1;CDKN1B,0.34,0
273,A549_LUNG,CCND1,ERBB2,CCND1;ERBB2,0.18,0
274,A549_LUNG,CCND1,CTNNB1,CCND1;CTNNB1,0.26,0
275,A549_LUNG,CCND1,CREBBP,CCND1;CREBBP,0.34,0
276,A549_LUNG,CCND1,MDM2,CCND1;MDM2,0.34,0
277,A549_LUNG,CCND1,CDK4,CCND1;CDK4,0.35,0
278,A549_LUNG,CCND1,MYC,CCND1;MYC,0.36,0
279,A549_LUNG,CCND1,CDKN2C,CCND1;CDKN2C,0.5,0
280,A549_LUNG,CCND1,BRCA1,CCND1;BRCA1,0.21,0
281,A549_LUNG,CCND1,CCND3,CCND1;CCND3,0.44,0
282,A549_LUNG,CCND1,CDKN1A,CCND1;CDKN1A,0.35,0
283,A549_LUNG,CCND1,JUN,CCND1;JUN,0.3,0
284,A549_LUNG,CCND1,EP300,CCND1;EP300,0.28,0
285,A549_LUNG,CCND1,STAT3,CCND1;STAT3,0.33,0
286,A549_LUNG,CCND1,SRC,CCND1;SRC,0.18,0
287,A549_LUNG,CCND1,CREB1,CCND1;CREB1,0.32,0
288,A549_LUNG,CCND1,BRCA2,CCND1;BRCA2,0.23,0
289,A549_LUNG,IL6ST,PIK3CA,IL6ST;PIK3CA,0.27,0
290,A549_LUNG,IL6ST,STAT3,IL6ST;STAT3,0.08,0
291,A549_LUNG,IL6ST,PIK3CB,IL6ST;PIK3CB,0.27,0
292,A549_LUNG,IL6ST,JAK1,IL6ST;JAK1,0.41,0
293,A549_LUNG,IL6ST,PIK3R1,IL6ST;PIK3R1,0.26,0
294,A549_LUNG,IL6ST,PTPN11,IL6ST;PTPN11,0.3,0
295,A549_LUNG,IGF2BP2,HNRNPA2B1,IGF2BP2;HNRNPA2B1,-3.98,0
296,A549_LUNG,BRCA1,FANCE,BRCA1;FANCE,-1.77,0
297,A549_LUNG,BRCA1,MSH2,BRCA1;MSH2,0.24,0
298,A549_LUNG,BRCA1,MSH6,BRCA1;MSH6,0.19,0
299,A549_LUNG,BRCA1,CDK4,BRCA1;CDK4,0.01,0
300,A549_LUNG,BRCA1,BARD1,BRCA1;BARD1,0.15,0
301,A549_LUNG,BRCA1,CREBBP,BRCA1;CREBBP,-0.23,0
302,A549_LUNG,BRCA1,EP300,BRCA1;EP300,-0.15,0
303,A549_LUNG,BRCA1,NBN,BRCA1;NBN,0.12,0
304,A549_LUNG,BRCA1,PMS2,BRCA1;PMS2,0.09,0
305,A549_LUNG,BRCA1,RB1,BRCA1;RB1,-0.03,0
306,A549_LUNG,BRCA1,ERBB2,BRCA1;ERBB2,-0.38,0
307,A549_LUNG,BRCA1,ATM,BRCA1;ATM,0.23,0
308,A549_LUNG,BRCA1,BUB1B,BRCA1;BUB1B,0.26,0
309,A549_LUNG,BRCA1,FANCD2,BRCA1;FANCD2,0.17,0
310,A549_LUNG,BRCA1,FANCC,BRCA1;FANCC,0.08,0
311,A549_LUNG,BRCA1,WRN,BRCA1;WRN,0.02,0
312,A549_LUNG,BRCA1,RMI2,BRCA1;RMI2,0.11,0
313,A549_LUNG,BRCA1,ERCC4,BRCA1;ERCC4,0.22,0
314,A549_LUNG,BRCA1,EZH2,BRCA1;EZH2,-0.03,0
315,A549_LUNG,BRCA1,POLE,BRCA1;POLE,0.05,0
316,A549_LUNG,BRCA1,FANCF,BRCA1;FANCF,0.09,0
317,A549_LUNG,BRCA1,SMAD3,BRCA1;SMAD3,-0.35,0
318,A549_LUNG,BRCA1,ATR,BRCA1;ATR,0.19,0
319,A549_LUNG,BRCA1,BLM,BRCA1;BLM,0.08,0
320,A549_LUNG,BRCA1,NF1,BRCA1;NF1,-0.22,0
321,A549_LUNG,BRCA1,FLNA,BRCA1;FLNA,-0.66,0
322,A549_LUNG,BRCA1,ABL1,BRCA1;ABL1,-0.25,0
323,A549_LUNG,BRCA1,ATRX,BRCA1;ATRX,0.12,0
324,A549_LUNG,BRCA1,XPA,BRCA1;XPA,0.14,0
325,A549_LUNG,BRCA1,FANCG,BRCA1;FANCG,0.05,0
326,A549_LUNG,BRCA1,BRCA2,BRCA1;BRCA2,0.22,0
327,A549_LUNG,BRCA1,AKT2,BRCA1;AKT2,-0.17,0
328,A549_LUNG,BRCA1,PMS1,BRCA1;PMS1,0.18,0
329,A549_LUNG,BRCA1,BAP1,BRCA1;BAP1,-0.1,0
330,A549_LUNG,BRCA1,POLR2A,BRCA1;POLR2A,-0.23,0
331,A549_LUNG,BRCA1,POLD1,BRCA1;POLD1,0.15,0
332,A549_LUNG,BRCA1,RAD17,BRCA1;RAD17,0.25,0
333,A549_LUNG,BRCA1,MYC,BRCA1;MYC,-0.02,0
334,A549_LUNG,BRCA1,RAD51B,BRCA1;RAD51B,0.36,0
335,A549_LUNG,BRCA1,ERCC5,BRCA1;ERCC5,0.22,0
336,A549_LUNG,BRCA1,AKT1,BRCA1;AKT1,-0.2,0
337,A549_LUNG,BRCA1,DROSHA,BRCA1;DROSHA,-0.72,0
338,A549_LUNG,MED12,THRAP3,MED12;THRAP3,-1.66,0
339,A549_LUNG,MED12,CCNC,MED12;CCNC,-1.47,0
340,A549_LUNG,MED12,CTNNB1,MED12;CTNNB1,-1.7,0
341,A549_LUNG,IKBKB,TSC2,IKBKB;TSC2,-0.1,0
