,Edge,U,pval,adj_pvals
135,ASXL1;SUZ12,2011.5,0.8790132802802763,1.0
136,ASXL1;EZH2,1906.0,0.5130648360569137,1.0
137,ASXL1;EED,1965.0,0.7088620759489527,1.0
138,ASXL1;SH2B3,2044.0,1.0,1.0
139,ASXL1;ASXL2,1954.0,0.6702141305775746,1.0
140,ASXL1;BAP1,2038.0,0.9791074332791966,1.0
141,ASXL1;SRSF2,1817.5,0.2827421136708572,1.0
142,ASXL1;IDH1,1770.5,0.19442725594541044,1.0
143,NACA;RPL22,2004.0,0.850124630505289,1.0
144,NACA;RPL5,2122.0,0.711878865374846,1.0
145,NACA;RPL10,1909.5,0.5227767431166694,1.0
146,EML4;PLCG1,1992.0,0.8064264460298276,1.0
147,EML4;KRAS,2003.5,0.849148982740007,1.0
148,EML4;PIK3CA,2005.5,0.856588387078373,1.0
149,EML4;NPM1,2026.0,0.9337145471474344,1.0
150,EML4;KIF5B,2075.0,0.8847347312542441,1.0
151,EML4;JAK1,1929.5,0.587774236506423,1.0
152,EML4;PIK3R1,2013.5,0.8865274159041855,1.0
153,EML4;PIK3CB,2065.5,0.9204528476061279,1.0
154,KDM5C;SETD2,2369.5,0.12189242168698605,1.0
155,KDM5C;PBRM1,2277.0,0.26913943319160316,1.0
156,GNAS;SRC,2241.5,0.34708452196275097,1.0
157,GNAS;PRKAR1A,2300.0,0.2223682778948588,1.0
158,DNMT3A;EZH2,2225.5,0.3896314059716194,1.0
159,DNMT3A;SMARCA4,2308.0,0.21046238751231416,1.0
160,DNMT3A;MYC,2349.5,0.1471869175687605,1.0
161,DNMT3A;SETDB1,2291.0,0.241322130336043,1.0
162,MSH2;PMS2,2009.0,0.8692774637354568,1.0
163,MSH2;POLD1,1998.5,0.8303040727179686,1.0
164,MSH2;PALB2,2000.0,0.8358941933644664,1.0
165,MSH2;MSH6,2216.5,0.41194037793774607,1.0
166,MSH2;TP53,1975.0,0.744735158873956,1.0
167,MSH2;BRCA1,1851.0,0.3601519554857552,1.0
168,MSH2;ARID1A,1960.0,0.691433411089104,1.0
169,MSH2;MYC,2085.5,0.845479104973877,1.0
170,MSH2;CHEK2,2112.0,0.7481790709560912,1.0
171,MSH2;ATM,2035.5,0.9696402245964284,1.0
172,MSH2;ATR,1999.0,0.8323731137788533,1.0
173,MSH2;PMS1,1953.0,0.6662612598860189,1.0
174,MSH2;XPC,1934.0,0.6026236472539046,1.0
175,MSH2;ERCC5,1932.5,0.5975883102485451,1.0
176,NDRG1;TP53,1755.0,0.17020786061160698,1.0
177,BCL3;CYLD,1780.0,0.2104936328465309,1.0
178,B2M;CALR,2399.0,0.09167938351411319,1.0
179,B2M;TFRC,2237.5,0.3585645983360849,1.0
180,B2M;HLA-A,2091.5,0.8222025172757236,1.0
181,LZTR1;KRAS,1930.5,0.5911801046295059,1.0
182,LZTR1;CUL3,2033.0,0.9601958862725772,1.0
183,PBRM1;ARID1A,1716.5,0.1198068302147689,1.0
184,PBRM1;SMARCE1,1900.0,0.494300445844152,1.0
185,PBRM1;ARID2,1933.5,0.6002513538935506,1.0
186,PBRM1;SMARCB1,1929.0,0.5854575958080811,1.0
187,PBRM1;SMARCA4,1810.0,0.26688609763632853,1.0
188,PBRM1;SMARCD1,1962.0,0.6978067807678202,1.0
189,PBRM1;SS18,1905.5,0.5109870073534011,1.0
190,PBRM1;SETD2,2072.0,0.8959248865817759,1.0
191,PBRM1;ARID1B,1943.0,0.6316571371979443,1.0
192,ATR;NBN,1818.0,0.2834304199417297,1.0
193,ATR;TP53,1959.5,0.6896988178455125,1.0
194,ATR;ATM,1946.5,0.6447089647302684,1.0
195,ATR;RAD17,2009.0,0.8695677044687158,1.0
196,ATR;CHEK2,2126.5,0.6965169404753955,1.0
197,ATR;FANCA,1960.5,0.6931417178042268,1.0
198,ATR;BRCA1,1910.5,0.5272934554112501,1.0
199,NBN;MSH6,2043.5,1.0,1.0
200,NBN;CHEK2,2096.0,0.8064729536537515,1.0
201,NBN;RAD17,2101.0,0.7879299164012532,1.0
202,NBN;ATM,2015.0,0.8922067113374815,1.0
203,NBN;BRCA1,2006.5,0.8603779884109022,1.0
204,SUZ12;KDM5A,2068.0,0.9110748538566058,1.0
205,SUZ12;EED,1987.5,0.7899872820482108,1.0
206,SUZ12;EZH2,1836.0,0.3240372581992538,1.0
207,SUZ12;BAP1,1950.5,0.6583764154177423,1.0
208,SUZ12;CTCF,2010.0,0.8734990741029489,1.0
209,NIN;PCM1,1866.5,0.4001199026185821,1.0
210,RALGDS;KRAS,2206.0,0.44269868693390424,1.0
211,RALGDS;RHOA,1986.0,0.7846139078820649,1.0
212,ERCC5;MSH6,2240.0,0.3526339049138395,1.0
213,ERCC5;EP300,2300.5,0.22372798987825393,1.0
214,ERCC5;ATM,2266.5,0.291282487331194,1.0
215,ERCC5;XPC,2187.5,0.49657575980014956,1.0
216,ERCC5;ERCC3,2342.5,0.15647342232518782,1.0
217,ERCC5;ERCC2,2291.5,0.240302495951628,1.0
218,ERCC5;BRCA1,2192.0,0.48322529481700305,1.0
219,ERCC5;POLD1,2183.0,0.5102188566314024,1.0
220,SMARCB1;TP53,2021.0,0.9148031201941891,1.0
221,SMARCB1;XPC,2228.0,0.38288290405051906,1.0
222,SMARCB1;ARID1A,2007.5,0.8636626276059006,1.0
223,SMARCB1;SMARCE1,2131.5,0.6782561789558208,1.0
224,SMARCB1;ARID2,2128.0,0.6908731373757335,1.0
