,Edge,U,pval,adj_pvals
237,CXCL10;CCL21,263.5,1.0,1.0
238,CXCL10;CXCL13,263.5,1.0,1.0
239,CXCL10;CXCR5,263.5,1.0,1.0
240,CXCL10;PPBP,263.5,1.0,1.0
241,CXCL10;PF4,263.5,1.0,1.0
242,CXCL10;CCR1,263.5,1.0,1.0
243,CXCL10;CCL26,263.5,1.0,1.0
244,CXCL10;CXCL1,263.5,1.0,1.0
245,CXCL10;CCL8,263.5,1.0,1.0
246,CXCL10;CXCL12,263.5,1.0,1.0
247,CXCL10;CCL28,263.5,1.0,1.0
248,CXCL10;CXCL17,263.5,1.0,1.0
249,CXCL10;CXCR6,263.5,1.0,1.0
250,CXCL10;CCR3,263.5,1.0,1.0
251,CXCL10;CXCL14,263.5,1.0,1.0
252,CXCL10;CXCL2,263.5,1.0,1.0
253,CXCL10;CXCL9,263.5,1.0,1.0
254,CXCL10;XCL1,263.5,1.0,1.0
255,CXCL10;CXCL11,263.5,1.0,1.0
256,CXCL10;CCL4,263.5,1.0,1.0
257,CCR3;CCL17,263.5,1.0,1.0
258,CCR3;CCL2,263.5,1.0,1.0
259,CCR3;CCL13,263.5,1.0,1.0
260,CCR3;CCR1,263.5,1.0,1.0
261,CCR3;CXCL11,263.5,1.0,1.0
262,CCR3;CXCL9,263.5,1.0,1.0
263,CCR3;CCL8,263.5,1.0,1.0
264,CCR3;CCL26,263.5,1.0,1.0
265,CCR3;CCL24,263.5,1.0,1.0
266,CCR3;CCL4,263.5,1.0,1.0
267,CCR4;CCL17,263.5,1.0,1.0
268,CCL17;CCL28,263.5,1.0,1.0
269,CCL17;CCL25,263.5,1.0,1.0
270,CCL17;PF4,263.5,1.0,1.0
271,CCL17;CCL26,263.5,1.0,1.0
272,CCL17;CCL21,263.5,1.0,1.0
273,CCL17;CXCL17,263.5,1.0,1.0
274,CCL17;CXCL14,263.5,1.0,1.0
275,CCL17;CCR6,263.5,1.0,1.0
276,CCR7;CCL2,263.5,1.0,1.0
277,CCR7;CXCR5,263.5,1.0,1.0
278,CCR7;CCL4,263.5,1.0,1.0
279,CCR7;XCL1,263.5,1.0,1.0
280,CCR7;CXCL9,263.5,1.0,1.0
281,CCR7;CCL20,263.5,1.0,1.0
282,CCR7;CCL27,263.5,1.0,1.0
283,CCR7;CCL25,263.5,1.0,1.0
284,CCR7;CXCL12,263.5,1.0,1.0
285,CCR7;CCL21,263.5,1.0,1.0
286,CCR7;CXCL13,263.5,1.0,1.0
287,CCR1;CCL2,263.5,1.0,1.0
288,CCR1;CCL13,263.5,1.0,1.0
289,CCR1;CCL20,263.5,1.0,1.0
290,CCR1;CCL4,263.5,1.0,1.0
291,CCR1;CCL16,263.5,1.0,1.0
292,CCR1;CXCL9,263.5,1.0,1.0
293,CCR1;CCL26,263.5,1.0,1.0
294,CCR1;CXCL1,263.5,1.0,1.0
295,CCR1;CCL8,263.5,1.0,1.0
296,CCL28;CCL13,263.5,1.0,1.0
297,CCL28;CCL21,263.5,1.0,1.0
298,CCL28;CXCL13,263.5,1.0,1.0
299,CCL28;PPBP,263.5,1.0,1.0
300,CCL28;PF4,263.5,1.0,1.0
301,CCL28;CXCL14,263.5,1.0,1.0
302,CCL28;CXCL12,263.5,1.0,1.0
303,CCL28;CXCL17,263.5,1.0,1.0
304,CCL28;CCL26,263.5,1.0,1.0
305,CCL28;XCL1,263.5,1.0,1.0
306,CCL28;CXCL9,263.5,1.0,1.0
307,CCL28;CXCL2,263.5,1.0,1.0
308,CCL28;XCL2,263.5,1.0,1.0
309,CCL25;PF4,263.5,1.0,1.0
310,CCL25;CXCL11,263.5,1.0,1.0
311,CCL25;CXCL12,263.5,1.0,1.0
312,CCL25;CXCL17,263.5,1.0,1.0
313,PF4;CCL2,263.5,1.0,1.0
314,PF4;CCL13,263.5,1.0,1.0
315,PF4;CXCL6,263.5,1.0,1.0
316,PF4;CCL21,263.5,1.0,1.0
317,PF4;CXCL12,263.5,1.0,1.0
318,PF4;CCL26,263.5,1.0,1.0
319,PF4;CXCL17,263.5,1.0,1.0
320,PF4;XCL1,263.5,1.0,1.0
321,PF4;CXCL11,263.5,1.0,1.0
322,PF4;CCL20,263.5,1.0,1.0
323,PF4;CXCL14,263.5,1.0,1.0
324,PF4;XCL2,263.5,1.0,1.0
325,PF4;CXCL9,263.5,1.0,1.0
326,PF4;CXCL2,263.5,1.0,1.0
327,CCL26;CCL2,263.5,1.0,1.0
328,CCL26;CCL13,263.5,1.0,1.0
329,CCL26;CCL21,263.5,1.0,1.0
330,CCL26;PPBP,263.5,1.0,1.0
331,CCL26;CXCL11,263.5,1.0,1.0
332,CCL26;CXCL14,263.5,1.0,1.0
333,CCL26;CXCL9,263.5,1.0,1.0
334,CCL26;XCL1,263.5,1.0,1.0
335,CCL26;XCL2,263.5,1.0,1.0
336,CCL26;CCL8,263.5,1.0,1.0
337,CCL26;CXCL12,263.5,1.0,1.0
338,CCL26;CXCL17,263.5,1.0,1.0
339,CCL21;CCL13,263.5,1.0,1.0
340,CCL21;CXCL12,263.5,1.0,1.0
341,CCL21;CXCL13,263.5,1.0,1.0
342,CCL21;CXCL17,263.5,1.0,1.0
343,CCL21;XCL1,263.5,1.0,1.0
344,CCL21;CXCL11,263.5,1.0,1.0
345,CCL21;CCL24,263.5,1.0,1.0
346,CCL21;CXCR5,263.5,1.0,1.0
347,CCL21;PPBP,263.5,1.0,1.0
348,CCL21;CXCL14,263.5,1.0,1.0
349,CCL21;XCL2,263.5,1.0,1.0
350,CCL21;CXCL2,263.5,1.0,1.0
351,CCL21;CXCL9,263.5,1.0,1.0
352,CXCL17;CCL2,263.5,1.0,1.0
353,CXCL17;CCL13,263.5,1.0,1.0
354,CXCL17;CXCL14,263.5,1.0,1.0
355,CXCL17;CCL20,263.5,1.0,1.0
356,CXCL17;CXCL9,263.5,1.0,1.0
357,CXCL17;XCL1,263.5,1.0,1.0
358,CXCL17;XCL2,263.5,1.0,1.0
359,CXCL17;CCL8,263.5,1.0,1.0
360,CXCL17;CXCL12,263.5,1.0,1.0
361,CXCL14;CCL13,263.5,1.0,1.0
362,CXCL14;PPBP,263.5,1.0,1.0
363,CXCL14;CXCL11,263.5,1.0,1.0
364,CXCL14;CXCL12,263.5,1.0,1.0
365,CXCL14;XCL1,263.5,1.0,1.0
366,CXCL14;CXCL9,263.5,1.0,1.0
367,CXCL14;CXCL2,263.5,1.0,1.0
368,CCR6;CCL2,263.5,1.0,1.0
369,CCR6;CXCL13,263.5,1.0,1.0
370,CCR6;CXCL12,263.5,1.0,1.0
