,Edge,U,pval,adj_pvals
154,SDHD;TMEM127,111.0,0.48948472145016664,1.0
155,SDHD;SDHA,124.5,0.8060601983961477,1.0
156,SDHD;FH,109.5,0.45326800632131015,1.0
157,SDHD;SDHC,119.5,0.2901595055835786,1.0
158,SDHD;SDHB,89.5,0.14102683126102897,1.0
159,PCM1;NIN,130.5,0.9734291711493069,1.0
160,MAP3K1;MAPK1,137.0,0.8821129330665947,1.0
161,MAP3K1;AXIN1,150.5,0.5456396135046897,1.0
162,MAP3K1;MAP2K2,136.5,0.8950763510306756,1.0
163,MAP3K1;TP53,129.5,0.9475020733708303,1.0
164,MAP3K1;MAP2K1,132.0,1.0,1.0
165,MAP3K1;CASP3,123.0,0.7761519646258714,1.0
166,MAP3K1;NRAS,134.5,0.9472742273060507,1.0
167,MAP3K1;JUN,122.0,0.7523643155081163,1.0
168,MAP3K1;IKBKB,138.0,0.8538836587819473,1.0
169,MAP3K1;HRAS,133.0,0.9868286580819615,1.0
170,MAP3K1;MAP2K4,162.0,0.32879837138844525,1.0
171,MAP3K1;RHOA,110.5,0.4879498176887044,1.0
172,ETV6;PDGFRB,128.0,0.9078602656368346,1.0
173,ETV6;RUNX1,153.5,0.4886930947224618,1.0
174,ETV6;ABL1,135.0,0.9341804285172286,1.0
175,ETV6;ABL2,133.5,0.9733157923934783,1.0
176,PSIP1;BRD4,102.0,0.32905418964974165,1.0
177,PSIP1;MEN1,102.0,0.32719320915777783,1.0
178,PSIP1;KMT2A,110.0,0.4771081522272649,1.0
179,DGCR8;DDX5,216.5,0.005327194198876069,1.0
180,DGCR8;TP53,183.0,0.0947727369950185,1.0
181,DGCR8;DROSHA,209.0,0.011206865459361597,1.0
182,DGCR8;DICER1,195.0,0.03793696041869605,1.0
183,DGCR8;HNRNPA2B1,218.0,0.004679483156113883,1.0
184,MAP2K2;MAPK1,135.5,0.9212899082723995,1.0
185,MAP2K2;PRKACA,156.5,0.4214843399803526,1.0
186,MAP2K2;ARAF,134.5,0.947410370502444,1.0
187,MAP2K2;MAP2K1,123.5,0.7492310868467355,1.0
188,MAP2K2;BRAF,135.5,0.9209416805241133,1.0
189,MAP2K2;NRAS,132.0,1.0,1.0
190,MAP2K2;PPP2R1A,111.0,0.4756165296613676,1.0
191,MAP2K2;RAF1,135.5,0.9210870485726549,1.0
192,MAP2K2;HRAS,129.5,0.9471859800098387,1.0
193,ASPSCR1;PRCC,136.0,0.9069591517289326,1.0
194,ASPSCR1;TFE3,147.5,0.6186736647350912,1.0
195,TP53;MAPK1,133.5,0.9737368129221401,1.0
196,TP53;DDX5,135.0,0.9338433049474513,1.0
197,TP53;CCND1,152.5,0.49893836723213225,1.0
198,TP53;CDKN1B,139.5,0.8134029300142922,1.0
199,TP53;MLH1,129.5,0.947513502530998,1.0
200,TP53;MSH2,109.5,0.46331879102669826,1.0
201,TP53;DNAJB1,100.0,0.2942395784329991,1.0
