,Patient,Gene1,Gene2,Edge,Curvature,Response
179,A2058_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.0,1
180,A2058_SKIN,GRB2,SRC,GRB2;SRC,0.0,1
181,A2058_SKIN,GRB2,SHC3,GRB2;SHC3,0.0,1
182,A2058_SKIN,GRB2,PIK3R1,GRB2;PIK3R1,-1.2144685840937992,1
183,A2058_SKIN,GRB2,NTRK1,GRB2;NTRK1,0.0,1
184,A2058_SKIN,GRB2,SOS1,GRB2;SOS1,0.0,1
185,A2058_SKIN,SRC,PIK3R2,SRC;PIK3R2,-0.9661213592733573,1
186,A2058_SKIN,SRC,KRAS,SRC;KRAS,-2.8234085309185115,1
187,A2058_SKIN,SRC,PIK3R3,SRC;PIK3R3,0.0,1
188,A2058_SKIN,SRC,PIK3CA,SRC;PIK3CA,0.0,1
189,A2058_SKIN,SRC,ERBB3,SRC;ERBB3,0.0,1
190,A2058_SKIN,SRC,ERBB2,SRC;ERBB2,0.0,1
191,A2058_SKIN,SRC,EGFR,SRC;EGFR,0.0,1
192,A2058_SKIN,SRC,NRAS,SRC;NRAS,-3.408926281623472,1
193,A2058_SKIN,SRC,PIK3CD,SRC;PIK3CD,-0.9505444183980598,1
194,A2058_SKIN,SRC,SOS1,SRC;SOS1,0.0,1
195,A2058_SKIN,SRC,SHC3,SRC;SHC3,0.0,1
196,A2058_SKIN,SRC,PIK3CG,SRC;PIK3CG,-2.4658123752172703,1
197,A2058_SKIN,SRC,HRAS,SRC;HRAS,-2.2822537431229053,1
198,A2058_SKIN,SRC,PIK3CB,SRC;PIK3CB,-0.3654713497377773,1
199,A2058_SKIN,SRC,AKT1,SRC;AKT1,0.3418814649947197,1
200,A2058_SKIN,SRC,PIK3R1,SRC;PIK3R1,-0.5080766516730639,1
201,A2058_SKIN,ERBB2,PIK3R2,ERBB2;PIK3R2,-0.9327087438243047,1
202,A2058_SKIN,ERBB2,KRAS,ERBB2;KRAS,-1.8396549988303788,1
203,A2058_SKIN,ERBB2,PIK3R3,ERBB2;PIK3R3,0.0,1
204,A2058_SKIN,ERBB2,PIK3CA,ERBB2;PIK3CA,0.0,1
205,A2058_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.4966950609349259,1
206,A2058_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.0,1
207,A2058_SKIN,ERBB2,PIK3R1,ERBB2;PIK3R1,-1.2677987536156086,1
208,A2058_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.0,1
209,A2058_SKIN,ERBB2,PIK3CB,ERBB2;PIK3CB,-1.2170024458943707,1
210,A2058_SKIN,EGFR,PIK3R2,EGFR;PIK3R2,0.0,1
211,A2058_SKIN,EGFR,KRAS,EGFR;KRAS,0.0,1
212,A2058_SKIN,EGFR,PIK3R3,EGFR;PIK3R3,0.0,1
213,A2058_SKIN,EGFR,PIK3CA,EGFR;PIK3CA,0.0,1
214,A2058_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.0,1
215,A2058_SKIN,EGFR,NRAS,EGFR;NRAS,0.0,1
216,A2058_SKIN,EGFR,PIK3R1,EGFR;PIK3R1,0.0,1
217,A2058_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,1
218,A2058_SKIN,EGFR,SOS1,EGFR;SOS1,0.0,1
219,A2058_SKIN,EGFR,HRAS,EGFR;HRAS,-2.413658842602273,1
220,A2058_SKIN,EGFR,PIK3CB,EGFR;PIK3CB,0.0,1
221,A2058_SKIN,CALM2,KCNQ4,CALM2;KCNQ4,0.6764191022225301,1
222,A2058_SKIN,CALM2,CALM3,CALM2;CALM3,-4.598326640889703,1
223,A2058_SKIN,KCNQ5,KCNQ4,KCNQ5;KCNQ4,0.0,1
224,A2058_SKIN,KCNQ5,KCNQ3,KCNQ5;KCNQ3,0.0,1
225,A2058_SKIN,CALM3,KRAS,CALM3;KRAS,0.35299016829524466,1
226,A2058_SKIN,CALM3,KCNQ4,CALM3;KCNQ4,0.0,1
227,A2058_SKIN,CALM3,HRAS,CALM3;HRAS,0.3864562309570827,1
228,A2058_SKIN,CALM3,KCNQ3,CALM3;KCNQ3,0.0,1
229,A2058_SKIN,CALM3,NRAS,CALM3;NRAS,0.41133481520542725,1
230,A2058_SKIN,NTRK1,PIK3CA,NTRK1;PIK3CA,0.0,1
231,A2058_SKIN,NTRK1,NTRK2,NTRK1;NTRK2,0.0,1
232,A2058_SKIN,NTRK1,SHC3,NTRK1;SHC3,0.0,1
233,A2058_SKIN,NTRK1,PIK3R1,NTRK1;PIK3R1,0.0,1
234,A2058_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,1
235,A2058_SKIN,AKT1,PIK3R2,AKT1;PIK3R2,0.48732162497102727,1
236,A2058_SKIN,AKT1,PIK3R3,AKT1;PIK3R3,0.463976712892603,1
237,A2058_SKIN,AKT1,PIK3CA,AKT1;PIK3CA,0.3826079597148535,1
238,A2058_SKIN,AKT1,PDPK1,AKT1;PDPK1,0.5426713335235633,1
239,A2058_SKIN,AKT1,PIK3CD,AKT1;PIK3CD,0.32544576042654605,1
240,A2058_SKIN,AKT1,AKT2,AKT1;AKT2,0.5717591405664352,1
241,A2058_SKIN,AKT1,PIK3CG,AKT1;PIK3CG,0.2437212471135648,1
242,A2058_SKIN,AKT1,PIK3R1,AKT1;PIK3R1,0.4160009981250109,1
243,A2058_SKIN,AKT1,AKT3,AKT1;AKT3,0.5368239685266614,1
