,Edge,U,pval,adj_pvals
267,ZRSR2;RUNX1,57.0,0.40465676192728617,0.9719778990798471
268,ZRSR2;SH2B3,43.0,0.09348709467442491,0.7223858566109602
269,ZRSR2;SF3B1,48.5,0.18960798945217228,0.8227688642678216
270,ZRSR2;NRAS,52.5,0.2716956458256967,0.9031627559952284
271,ZRSR2;TET2,54.5,0.32731405626123,0.9294674998321322
272,ZRSR2;IDH2,59.0,0.4713718369236115,0.988698424344685
273,ZRSR2;IDH1,57.5,0.4178973559186371,0.9719778990798471
274,ZRSR2;PTPN11,52.5,0.2735182623474455,0.9031627559952284
275,ZRSR2;JAK2,49.0,0.19597528268032105,0.8331536482860766
276,ZRSR2;SRSF2,52.5,0.27797386632107945,0.9031627559952284
277,ZRSR2;PRPF40B,64.0,0.6679853037011567,1.0
278,ZRSR2;ASXL1,53.0,0.28237465801746453,0.9053789178267702
279,ZRSR2;EZH2,58.0,0.4372848816962892,0.974567031959239
280,ZRSR2;SETBP1,65.5,0.7301726004490257,1.0
281,ZRSR2;CSF3R,47.5,0.16117254459568686,0.7984884706839681
282,ZRSR2;ETV6,51.0,0.22676667793060157,0.8625096719896223
283,ZRSR2;SMC1A,56.0,0.3736016099545961,0.9557449682802966
284,ZRSR2;PHF6,58.0,0.4004238596567483,0.9719778990798471
285,ZRSR2;BCORL1,58.5,0.45570079631651206,0.9811879930671651
286,STRN;ATIC,63.0,0.6067838635563063,1.0
287,STRN;TFG,57.0,0.386871147793314,0.9672801572520022
288,STRN;PPFIBP1,51.0,0.17241489837062696,0.804237948769862
289,STRN;TPM4,39.5,0.056442584034672214,0.6596302991615803
290,STRN;KIF5B,70.5,0.9532346869016936,1.0
291,STRN;SRC,59.0,0.4722528862226395,0.988698424344685
292,STRN;PPP2R1A,67.5,0.8179327659921184,1.0
293,STRN;DCTN1,61.5,0.5554425690915554,1.0
294,STRN;WDCP,73.5,0.9506437049921713,1.0
295,STRN;EML4,66.0,0.7443219418668936,1.0
296,STRN;TPM3,62.0,0.5728086557865933,1.0
297,SMAD2;MAPK1,76.5,0.7454410588295854,1.0
298,SMAD2;DDX5,45.0,0.0884247831646332,0.7200982743294752
299,SMAD2;COL1A1,68.0,0.8316190401288528,1.0
300,SMAD2;CCND1,51.0,0.18020408434288082,0.8156511975063184
301,SMAD2;ACVR2A,69.5,0.9058334646111342,1.0
302,SMAD2;MDM2,77.0,0.7560232996949401,1.0
303,SMAD2;AXIN1,68.5,0.8490374244691257,1.0
304,SMAD2;FOXO4,57.0,0.3139614723749157,0.9254765641425997
305,SMAD2;TRIM33,61.0,0.5068101088349779,0.9988093379798215
306,SMAD2;SMAD3,63.0,0.3061755947949736,0.9227113765737452
307,SMAD2;ZEB1,78.0,0.6756552890187795,1.0
308,SMAD2;ACVR1B,63.0,0.615727982329924,1.0
309,SMAD2;ACVR1,62.0,0.56802363731697,1.0
310,SMAD2;SRC,65.5,0.6786718912649948,1.0
311,SMAD2;RUNX1,57.0,0.35120764789958314,0.9397177233887168
312,SMAD2;SKI,70.0,0.9287186990298907,1.0
313,SMAD2;STAT3,55.5,0.28106226867467843,0.9031627559952284
314,SMAD2;JUN,67.5,0.6882094395496217,1.0
315,SMAD2;KDR,43.0,0.08263242268753393,0.7079873822762547
316,SMAD2;SMAD4,49.5,0.07244801352978714,0.6889273441300039
317,SMAD2;EP300,84.0,0.40803330557546846,0.9719778990798471
318,SMAD2;TP53,72.0,1.0,1.0
319,SMAD2;LEF1,52.5,0.21771632923351958,0.8566646155063593
320,SMAD2;SMARCA4,76.0,0.801613520941505,1.0
321,SMAD2;NUP214,67.5,0.8012908303996096,1.0
322,SMAD2;FOXP1,52.5,0.2595889572132497,0.8970159115016422
323,SMAD2;COL3A1,64.5,0.6829077549253839,1.0
324,SMAD2;CASP3,55.5,0.28106226867467843,0.9031627559952284
325,SMAD2;ARID1B,53.0,0.20160712283337656,0.8331536482860766
326,SMAD2;MYC,80.0,0.5695124439010837,1.0
327,SMAD2;BMPR1A,69.5,0.8940980743665784,1.0
328,SMAD2;NCOR1,78.0,0.6756552890187795,1.0
329,SMAD2;CREBBP,54.5,0.2570742986848299,0.8911590465561482
330,SMAD2;CTNNB1,52.5,0.21771632923351958,0.8566646155063593
331,SMAD2;DICER1,80.0,0.6451232285407815,1.0
332,SMAD2;TGFBR2,63.5,0.594392175885043,1.0
333,SMAD2;NOTCH1,16.5,0.0009870890498827952,0.36409446704762594
334,SMAD2;PBX1,73.0,0.9771522615275299,1.0
335,SMAD2;KLF4,62.0,0.5397293198380958,1.0
336,SMAD2;PML,46.5,0.11268875686381993,0.7501700675708067
337,SMAD2;DROSHA,57.5,0.3492303436234484,0.9386650225094553
338,SMAD2;AKT1,48.0,0.1215745274247083,0.7629870460560313
339,SMAD2;EGFR,70.5,0.9351834878768401,1.0
340,SMAD2;MTOR,83.0,0.42634914174327687,0.9719778990798471
341,SMAD2;RHOA,47.0,0.12407984050928343,0.7629870460560313
342,SMAD2;PTEN,43.0,0.062447736329342605,0.6732082558047628
343,SMAD2;TCF12,65.5,0.7150006546880892,1.0
344,SMAD2;EPAS1,72.5,1.0,1.0
345,SMAD2;FOXO3,58.0,0.34456236532569795,0.9386650225094553
346,SMAD2;NCOR2,70.5,0.9423956620112989,1.0
347,SMAD2;WWTR1,64.5,0.6628339695431597,1.0
348,SMAD2;MEN1,61.0,0.48252276405313077,0.9904710206177333
349,MED12;CDK4,56.5,0.3715266628626247,0.9537899386221503
350,MED12;CREBBP,42.5,0.0853690456160724,0.7161016645006374
351,MED12;EP300,50.0,0.20847796316996103,0.8440896082927224
352,MED12;BRD4,50.0,0.20857138040738943,0.8440896082927224
353,MED12;CDK6,48.0,0.17103907491330017,0.804237948769862
354,MED12;NCOR1,54.5,0.3118919904655615,0.9254765641425997
355,MED12;TP53,41.5,0.0703995550082247,0.677944079640305
356,MED12;KMT2D,50.5,0.20866778769826422,0.8440896082927224
357,MED12;THRAP3,53.5,0.2980201562705729,0.9181588751233436
358,MED12;QKI,61.5,0.559590383383054,1.0
359,MED12;FLNA,44.5,0.1168149080119561,0.7541822127301729
360,MED12;FBXW7,40.5,0.06620174968846831,0.6746790337103465
361,MED12;NCOR2,58.0,0.42419392754789764,0.9719778990798471
362,MED12;NCOA2,49.0,0.17796742596806492,0.8156511975063184
363,MED12;KDM5C,51.0,0.23677153549183105,0.87012134543349
364,MED12;CTNNB1,45.5,0.12558522198054234,0.7629870460560313
365,PBRM1;CCND1,82.0,0.575620728584214,1.0
366,PBRM1;CDK4,66.5,0.7607520407798272,1.0
367,PBRM1;KMT2C,81.5,0.5774686624272996,1.0
368,PBRM1;BRD4,84.5,0.4729731471061134,0.988698424344685
369,PBRM1;PIK3CA,54.5,0.3215596855573215,0.9254765641425997
370,PBRM1;DNMT3A,72.5,1.0,1.0
371,PBRM1;RB1,66.5,0.771041665185214,1.0
372,PBRM1;TP53,78.0,0.7467339804576201,1.0
373,PBRM1;BRD3,91.0,0.2863420114348755,0.9123482653633987
