,Edge,U,pval,adj_pvals
1138,UBE2C/BUB1B,8207.5,0.5329608878057046,0.666404219851569
1139,UBE2C/CCNB2,8365.5,0.37917593470379996,0.530975775400413
1140,UBE2C/PLK1,8546.0,0.24453680222565788,0.3889118992255858
1141,UBE2C/TPX2,7619.5,0.7433838279796845,0.8324376585670119
1142,UBE2C/FEN1,8309.5,0.43285304855370954,0.5810928200919481
1143,UBE2C/SHCBP1,7163.5,0.29175516426316006,0.4397100110001967
1144,UBE2C/MCM7,7942.0,0.8453858570179863,0.9020198363824433
1145,UBE2C/AURKB,8523.5,0.2590656080810896,0.40398966735458886
1146,UBE2C/TYMS,7893.5,0.9066384370038156,0.9411398012550072
1147,UBE2C/SPAG5,7712.0,0.8625713399797267,0.9129343762817688
1148,UBE2C/KIF15,7454.0,0.5568552497662516,0.6860112108595472
1149,UBE2C/TACC3,8428.0,0.3299093564043284,0.48129506374504283
1150,UBE2C/MCM10,7652.5,0.7884532063857145,0.8648996891178633
1151,UBE2C/RACGAP1,7770.5,0.937028412078707,0.9598470871152787
1152,UBE2C/CDK1,8412.5,0.3420730267797325,0.49402583159979413
1153,UBE2C/NUSAP1,7662.0,0.7991825391437327,0.8717791551286903
1154,UBE2C/RAD51,8365.5,0.3821623611954026,0.5344734471790775
1155,UBE2C/HJURP,7572.5,0.6906693891597002,0.7956763573851743
1156,UBE2C/ECT2,7424.0,0.52362953295241,0.6597651680556288
1157,UBE2C/CCNA2,8543.0,0.24633407553522957,0.39042250742779544
1158,UBE2C/UBE2T,7255.0,0.3647497755125926,0.5158379368348346
1159,UBE2C/KIF4A,7859.0,0.9504383007666133,0.9693466163553802
1160,UBE2C/GTSE1,7071.0,0.22908538833792202,0.37172559799046595
1161,UBE2C/PRC1,7485.5,0.5890829687911792,0.7150156676869015
1162,UBE2C/EXO1,7892.0,0.9084216806881025,0.9414186779335643
1163,UBE2C/CENPF,7488.5,0.5935558671781933,0.7183418545499167
1164,UBE2C/UHRF1,8441.0,0.3197728184109877,0.47006031236848145
1165,UBE2C/BRCC3,8638.5,0.18995383822453393,0.3271593402701815
1166,UBE2C/CEP55,7982.5,0.7935931067296265,0.868123791898242
1167,UBE2C/TTK,8020.0,0.7472529565429518,0.8353447871950339
1168,UBE2C/PSMD4,8305.5,0.4370824347257588,0.5850668951217253
1169,UBE2C/CKAP2,7291.0,0.3958750669169785,0.5455128494559456
1170,UBE2C/KIF14,8053.0,0.7083101757415708,0.8088018012637259
1171,UBE2C/MKI67,7953.0,0.830855330949051,0.8931967040772727
1172,ECT2/TRIP13,7792.0,0.964578264155317,0.9782940601834915
1173,ECT2/NCAPG,7810.0,0.9877417468484154,0.9922782214971374
1174,ECT2/KIF23,8203.0,0.5372059500902706,0.6696704871755995
1175,ECT2/KIF11,8677.5,0.1678174748259902,0.29784061788919797
1176,ECT2/NDC80,7936.0,0.8513206718355939,0.9059951749246136
1177,ECT2/KIF18A,7813.0,0.9916284530497933,0.9934993246418654
1178,ECT2/PLK4,8099.5,0.6531852652686796,0.7626693435396932
1179,ECT2/NUF2,7850.0,0.9617743547623945,0.976960265627064
1180,ECT2/BUB1B,7893.5,0.9062994265021794,0.9411398012550072
1181,ECT2/CCNB2,8276.5,0.4623459689545073,0.6067118699774481
1182,ECT2/PLK1,9082.0,0.042998898493460426,0.11359048788811889
1183,ECT2/TPX2,7229.5,0.34011069564430707,0.49158730943126494
1184,ECT2/SHCBP1,7988.5,0.7867375070514968,0.863874365615932
