,Edge,U,pval,adj_pvals
263,CDK1;CCNB1,384.0,0.9293024895797182,1.0
264,CDK1;BUB1B,277.0,0.10497933513256583,0.7606173494999634
265,CDK1;SOX2,483.0,0.0893242944321959,0.6991555885186691
266,CDK1;GADD45A,366.0,0.8528103878605577,1.0
267,CDK1;FZR1,259.0,0.055935352714935264,0.6307788665719976
268,CDK1;CCNA2,324.0,0.38812895149982196,1.0
269,CDK1;ANAPC4,205.0,0.005392191535122779,0.20109702548634364
270,CCNA2;CCNB1,378.0,1.0,1.0
271,CCNA2;BUB1B,287.0,0.14432654209788737,0.8551684830846784
272,CCNA2;TRIM33,486.0,0.08290095511607036,0.6825870849816703
273,CCNA2;FZR1,312.0,0.2906991776271294,1.0
274,CCNA2;ANAPC4,195.0,0.003240718879603501,0.1580473668975861
275,CCNA2;CDC27,267.0,0.07466937142129607,0.6780366667040543
276,MAP2K1;MAPK1,260.0,0.058038389851404144,0.6344196407894866
277,MAP2K1;KRAS,203.0,0.00487951025632589,0.19335059390691342
278,MAP2K1;MAPK3,284.0,0.13148781407960503,0.8366377996630361
279,MAP2K1;NRAS,225.0,0.013893801493874432,0.3523468058846556
280,MAP2K1;TRIB1,526.0,0.017343587418497487,0.3900418413344365
281,GADD45B;MAP2K7,326.0,0.40611305069716586,1.0
282,GADD45B;MAP3K4,295.0,0.18290788855421658,0.9522930113947711
283,GADD45B;GADD45G,348.0,0.6336016319955071,1.0
284,GADD45B;GADD45A,398.0,0.7530315994498887,1.0
285,GADD45B;CCNB1,372.0,0.9293024895797182,1.0
286,MAP3K4;GADD45G,276.5,0.10189054897679077,0.7568193966563165
287,MAP3K4;GADD45A,468.0,0.14849701130785217,0.8577051551436133
288,GADD45G;CCNB1,384.0,0.9292485479557853,1.0
289,GADD45G;GADD45A,462.5,0.17490864847978516,0.9318662448418806
290,GADD45A;CCNB1,415.0,0.5559991710172443,1.0
291,CCNB1;CDC16,385.0,0.9164929704433327,1.0
292,CCNB1;ANAPC4,350.0,0.6573274005405432,1.0
293,CCNB1;CDC23,378.0,1.0,1.0
294,CCNB1;BUB1B,360.0,0.7777174834002654,1.0
295,CCNB1;CDC27,348.0,0.6341681694420989,1.0
296,CCNB1;FZR1,405.0,0.6690334185623694,1.0
297,SERPIND1;FGA,378.0,1.0,1.0
298,SERPIND1;FGB,378.0,1.0,1.0
299,SERPIND1;FGG,378.0,1.0,1.0
300,FGA;ALB,378.0,1.0,1.0
301,FGA;FGB,378.0,1.0,1.0
302,FGA;SERPINF2,378.0,1.0,1.0
303,FGA;FGG,378.0,1.0,1.0
304,FGA;F13B,378.0,1.0,1.0
305,FGA;SERPINC1,378.0,1.0,1.0
306,FGA;ITGB3,371.5,0.8228971432211839,1.0
307,FGB;FGG,378.0,1.0,1.0
308,FGB;SERPINC1,378.0,1.0,1.0
309,FGB;ITGB3,372.5,0.8520394221714795,1.0
310,FGG;ITGB3,372.5,0.8520394221714795,1.0
311,MAPK1;NRAS,403.0,0.6920151956340345,1.0
312,MAPK1;MAPK3,284.0,0.11365452829202734,0.7918348454631355
313,MAPK1;KRAS,362.0,0.8021174640572598,1.0
314,MAPK1;SHC1,411.0,0.5958983723803597,1.0
315,MAPK1;ESR1,417.0,0.5147864892033629,1.0
316,MAPK1;MAPT,483.0,0.08878210661370245,0.6991555885186691
317,MAPK1;CASP3,285.0,0.13566517818090987,0.8366377996630361
318,MAPK1;SMAD3,170.0,0.0008135589338725497,0.10381215719567832
319,MAPK1;SMAD2,267.0,0.07466937142129607,0.6780366667040543
320,MAPK1;HIF1A,385.5,0.9092377807534281,1.0
321,NRAS;MAPK3,433.5,0.37040531141769983,1.0
322,NRAS;PIK3CA,384.0,0.9238785295821268,1.0
323,NRAS;EML4,404.0,0.6623192578913564,1.0
324,NRAS;PIK3R1,328.5,0.39081318270221854,1.0
325,NRAS;ALK,329.5,0.3394807203891588,1.0
326,MAPK3;KRAS,357.0,0.7380007855840705,1.0
327,MAPK3;SMAD2,288.0,0.14881319726466477,0.8577051551436133
328,MAPK3;HIF1A,316.5,0.20611486874559215,0.9975330288908811
329,MAPK3;SMAD3,230.0,0.017087722899465137,0.3900418413344365
330,MAPK3;CASP3,342.0,0.5668566664969397,1.0
331,MAPK3;MAPT,392.5,0.7805536521326402,1.0
332,MAPK3;ESR1,378.0,1.0,1.0
333,KRAS;PIK3R1,328.0,0.37735222066513496,1.0
334,KRAS;EML4,330.0,0.4127383910128385,1.0
335,KRAS;PIK3CA,329.5,0.4005549940527665,1.0
336,KRAS;ALK,448.0,0.14038381509605952,0.8476508454371594
337,SHC1;RET,347.5,0.5926350142661152,1.0
338,SHC1;JAK2,347.0,0.6014312569915101,1.0
339,SHC1;ALK,380.0,0.97820009993039,1.0
340,SHC1;ESR1,414.0,0.534128450648093,1.0
341,SHC1;INPP5D,575.0,0.001373592721540044,0.10381215719567832
342,SHC1;ITGB3,397.0,0.7497176174114504,1.0
343,SHC1;PIK3R1,400.0,0.6880327048409278,1.0
344,ESR1;TRIM24,405.0,0.6330410920482545,1.0
345,ESR1;GPER1,375.0,0.9329542899693933,1.0
346,ESR1;NCOA1,377.5,1.0,1.0
347,ESR1;PIK3R1,358.5,0.7148610684969431,1.0
348,MAPT;TUBA4A,360.0,0.7772196694117269,1.0
349,MAPT;TUBB2B,456.0,0.19813903064212268,0.992973915279693
350,MAPT;TUBB4A,381.0,0.9653575661767945,1.0
351,MAPT;CASP3,352.0,0.6806736911743646,1.0
352,MAPT;CDK5R1,364.5,0.8307885778597975,1.0
353,MAPT;TUBB3,543.0,0.007963631627419926,0.26573381325180173
354,MAPT;PSEN1,452.0,0.2304066385125373,1.0
355,MAPT;TUBA8,370.0,0.8900278634309966,1.0
356,MAPT;TUBA1B,384.0,0.9292485479557853,1.0
357,MAPT;IGLL5,396.0,0.36403737058028396,1.0
358,MAPT;VDAC1,350.5,0.6624432696089857,1.0
359,MAPT;CDK5,477.0,0.09902080716485594,0.7563758041267309
360,MAPT;CAMK2A,405.0,0.2577141625373175,1.0
361,MAPT;SNCA,435.0,0.32632062820747,1.0
362,MAPT;YWHAZ,310.0,0.27621278569242524,1.0
363,MAPT;YWHAQ,312.0,0.2906924753701018,1.0
364,MAPT;TUBB2A,534.0,0.012104330141225427,0.33365849171899653
365,SMAD3;POU5F1,286.0,0.13793640850654676,0.840881567241833
366,SMAD3;SMAD2,176.0,0.001152335422139325,0.10381215719567832
367,SMAD3;SMAD4,308.0,0.2622395198199955,1.0
368,SMAD3;TRIM33,319.0,0.34533772570153776,1.0
369,SMAD3;HIF1A,216.0,0.009178785119238718,0.29096748827986735
370,SMAD2;TRIM33,307.0,0.2554360017313011,1.0
371,SMAD2;SMAD4,287.0,0.14432654209788737,0.8551684830846784
372,HIF1A;EPO,401.0,0.5150272761297192,1.0
373,HIF1A;EPAS1,440.0,0.277261089100304,1.0
374,HIF1A;ARNT2,377.0,0.992645260082541,1.0
375,HIF1A;PKM,234.0,0.020622935844337675,0.40859191641594017
376,HIF1A;ARNT,447.0,0.23403728808766355,1.0
377,HIF1A;EGLN1,519.0,0.016119223671914523,0.3900418413344365
378,HIF1A;HIF3A,350.5,0.6140911286405764,1.0
379,HIF1A;EGLN2,567.0,0.0012454856212512368,0.10381215719567832
380,WDR5;POU5F1,353.0,0.6915205331604889,1.0
381,NID2;LAMC1,440.0,0.3211660464347833,1.0
382,PGM3;PGM5,357.0,0.6774354149279276,1.0
383,AGT;REN,378.0,1.0,1.0
384,AGT;ACE,378.0,1.0,1.0
385,AGT;KNG1,378.0,1.0,1.0
386,AGT;AGTR1,378.0,1.0,1.0
387,AGT;ACE2,378.0,1.0,1.0
388,KNG1;REN,378.0,1.0,1.0
389,KNG1;ACE,378.0,1.0,1.0
390,KNG1;ALB,378.0,1.0,1.0
391,KNG1;AGTR1,378.0,1.0,1.0
392,PKM;POU5F1,243.0,0.030011501222356247,0.4622983514459232
393,PKM;GPI,414.0,0.5668782192957027,1.0
394,PKM;H6PD,383.0,0.9421323147212047,1.0
395,SALL4;SOX2,378.0,1.0,1.0
396,SALL4;NANOG,378.0,1.0,1.0
397,SALL4;POU5F1,378.0,1.0,1.0
398,SOX2;NANOG,378.0,1.0,1.0
399,SOX2;POU5F1,378.0,1.0,1.0
400,SOX2;PRDM14,378.0,1.0,1.0
401,SOX2;LIN28A,378.0,1.0,1.0
402,SOX2;KLF4,378.0,1.0,1.0
403,NANOG;PRDM14,378.0,1.0,1.0
404,NANOG;POU5F1,378.0,1.0,1.0
405,NANOG;LIN28A,378.0,1.0,1.0
406,NANOG;KLF4,378.0,1.0,1.0
407,NANOG;TET2,378.0,1.0,1.0
408,POU5F1;POU5F1B,423.0,0.13426665168293897,0.8366377996630361
409,POU5F1;SOX17,387.0,0.5363881322159223,1.0
410,POU5F1;KLF4,378.0,1.0,1.0
411,POU5F1;CTCF,307.5,0.25692349031089523,1.0
412,POU5F1;EPAS1,321.0,0.3390950753744406,1.0
413,POU5F1;PRDM14,378.0,1.0,1.0
414,POU5F1;FOXD3,441.0,0.07054177948745188,0.6780366667040543
415,POU5F1;LIN28A,378.0,1.0,1.0
416,TUBA1B;TUBB2B,364.5,0.8338958845514591,1.0
417,TUBA1B;TUBB4A,322.0,0.37026607080171203,1.0
418,TUBA1B;TUBB3,362.0,0.8025621963186417,1.0
419,TUBA1B;TUBB2A,358.0,0.7530979962015772,1.0
420,TUBA4A;TUBB2A,300.0,0.21124014756713905,1.0
421,TUBA4A;TUBB3,318.0,0.337148026433821,1.0
422,TUBA4A;TUBB4A,292.0,0.1665279943096598,0.914061421621992
423,TUBA4A;TUBB2B,335.0,0.49286218053135444,1.0
424,TUBA8;TUBB2B,469.0,0.1343494443306678,0.8366377996630361
425,TUBA8;TUBB4A,333.0,0.4317729651918779,1.0
426,TUBA8;TUBB3,423.0,0.47285268739507835,1.0
427,TUBA8;TUBB2A,434.0,0.37063198441914635,1.0
428,PTEN;PIK3CA,320.5,0.3576135932460167,1.0
429,PTEN;PIK3R1,421.5,0.48690858358168276,1.0
430,PTEN;INPP5D,435.0,0.3530285579251268,1.0
431,YWHAZ;YWHAQ,343.0,0.5778526880505068,1.0
432,YWHAZ;PIK3R1,255.0,0.04814758565734579,0.5870301789761005
433,ADIPOQ;CDH13,378.0,1.0,1.0
434,ADIPOQ;LEP,378.0,1.0,1.0
435,SMAD4;TRIM33,390.0,0.8528306044368017,1.0
436,THPO;CSF3,378.0,1.0,1.0
437,THPO;EPO,378.0,1.0,1.0
438,THPO;IL3,378.0,1.0,1.0
439,THPO;FLT3LG,378.0,1.0,1.0
440,EPO;CSF3,378.0,1.0,1.0
441,EPO;JAK2,378.0,1.0,1.0
442,EPO;IL3,378.0,1.0,1.0
443,JAK2;CSF3,378.0,1.0,1.0
444,JAK2;PIK3CA,250.0,0.0381807037215204,0.5043762570414893
445,JAK2;IL3,378.0,1.0,1.0
446,JAK2;LEP,378.0,1.0,1.0
447,JAK2;CSF3R,369.0,0.5363881322159223,1.0
448,JAK2;PIK3R1,340.5,0.5169940229833723,1.0
449,FLT3LG;CSF3,378.0,1.0,1.0
450,FLT3LG;IL3,378.0,1.0,1.0
451,PIK3R1;PIK3CA,266.0,0.034714299605813334,0.4890859100019034
452,PIK3R1;ALK,345.5,0.3823042149336652,1.0
453,PIK3R1;INPP5D,541.0,0.003073745136933519,0.1580473668975861
454,PIK3CA;ALK,396.0,0.6636472519123451,1.0
455,PIK3CA;EML4,361.0,0.7743819221932036,1.0
456,GPI;GCK,435.0,0.3086963451141562,1.0
457,GPI;ADPGK,424.5,0.43883768537998447,1.0
458,GPI;G6PD,466.0,0.14624607924601982,0.8577051551436133
459,GPI;PGM5,516.0,0.011246955230948994,0.3265836957290732
460,GPI;H6PD,474.5,0.10231276511038072,0.7568193966563165
461,NPHS1;TRPC6,378.0,1.0,1.0
462,NPHS1;NPHS2,378.0,1.0,1.0
463,AGTR1;REN,378.0,1.0,1.0
464,AGTR1;ACE,378.0,1.0,1.0
465,AGTR1;ACE2,378.0,1.0,1.0
466,VDAC1;SNCA,280.5,0.11680673602864573,0.8049507678495803
467,GCK;G6PD,379.0,0.992645260082541,1.0
468,GCK;G6PC2,378.0,1.0,1.0
469,GCK;PDX1,378.0,1.0,1.0
470,GCK;ADPGK,338.0,0.44004718067924353,1.0
471,GCK;G6PC,378.0,1.0,1.0
472,GCK;H6PD,302.0,0.07111631296174838,0.6780366667040543
473,GCK;SLC2A2,378.0,1.0,1.0
474,GCK;GCKR,336.0,0.03135462005074873,0.4622983514459232
475,GCK;G6PC3,498.0,0.025632217624980608,0.4430117650618228
476,G6PD;H6PD,402.0,0.6830856495081176,1.0
477,C5;C8A,378.0,1.0,1.0
