,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
129,Ipi+Pembro,SKCM,edge-random,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
130,Ipi+Pembro,SKCM,node,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
131,Ipi+Pembro,SKCM,node-random,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
132,Ipi+Pembro,SKCM,node-norm,9,56,1.0,1.0,0.8571428571428571,0.8333333333333334,2,1,0,4
133,Ipi+Pembro,SKCM,node-norm-random,9,56,1.0,1.0,0.8571428571428571,0.8333333333333334,2,1,0,4
134,Ipi+Pembro,SKCM,edge+targets,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
135,Ipi+Pembro,SKCM,edge+targets-random,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
136,Ipi+Pembro,SKCM,node+targets,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
137,Ipi+Pembro,SKCM,node+targets-random,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
138,Ipi+Pembro,SKCM,node-norm+targets,9,56,1.0,1.0,0.8571428571428571,0.8333333333333334,2,1,0,4
139,Ipi+Pembro,SKCM,node-norm+targets-random,9,56,1.0,1.0,0.8571428571428571,0.7500000000000001,2,1,0,4
140,Ipi+Pembro,SKCM,targets,10,2,0.6666666666666666,0.7083333333333333,0.5714285714285714,0.5833333333333334,3,0,3,1
141,Ipi+Pembro,SKCM,DiffExp,10,31,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
142,Ipi+Pembro,SKCM,edge,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
143,Ipi+Pembro,SKCM,edge-random,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
144,Ipi+Pembro,SKCM,node,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
145,Ipi+Pembro,SKCM,node-random,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
146,Ipi+Pembro,SKCM,node-norm,10,68,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
147,Ipi+Pembro,SKCM,node-norm-random,10,68,1.0,1.0,0.7142857142857143,0.8333333333333334,3,0,2,2
148,Ipi+Pembro,SKCM,edge+targets,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
149,Ipi+Pembro,SKCM,edge+targets-random,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
150,Ipi+Pembro,SKCM,node+targets,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
151,Ipi+Pembro,SKCM,node+targets-random,10,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
152,Ipi+Pembro,SKCM,node-norm+targets,10,68,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
153,Ipi+Pembro,SKCM,node-norm+targets-random,10,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
154,Ipi+Pembro,SKCM,targets,11,2,0.6111111111111112,0.6527777777777779,0.8571428571428571,0.6666666666666667,2,1,0,4
155,Ipi+Pembro,SKCM,DiffExp,11,31,1.0,1.0,1.0,1.0,3,0,0,4
156,Ipi+Pembro,SKCM,edge,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
157,Ipi+Pembro,SKCM,edge-random,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
158,Ipi+Pembro,SKCM,node,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
159,Ipi+Pembro,SKCM,node-random,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
160,Ipi+Pembro,SKCM,node-norm,11,65,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
161,Ipi+Pembro,SKCM,node-norm-random,11,65,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
162,Ipi+Pembro,SKCM,edge+targets,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
163,Ipi+Pembro,SKCM,edge+targets-random,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
164,Ipi+Pembro,SKCM,node+targets,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
165,Ipi+Pembro,SKCM,node+targets-random,11,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
166,Ipi+Pembro,SKCM,node-norm+targets,11,65,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
167,Ipi+Pembro,SKCM,node-norm+targets-random,11,65,1.0,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
168,Ipi+Pembro,SKCM,targets,12,2,0.6111111111111112,0.7083333333333333,0.2857142857142857,0.41666666666666663,1,2,3,1
169,Ipi+Pembro,SKCM,DiffExp,12,31,1.0,1.0,1.0,1.0,3,0,0,4
170,Ipi+Pembro,SKCM,edge,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
171,Ipi+Pembro,SKCM,edge-random,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
172,Ipi+Pembro,SKCM,node,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
173,Ipi+Pembro,SKCM,node-random,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
174,Ipi+Pembro,SKCM,node-norm,12,64,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
175,Ipi+Pembro,SKCM,node-norm-random,12,64,1.0,1.0,0.7142857142857143,0.9166666666666667,2,1,1,3
176,Ipi+Pembro,SKCM,edge+targets,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
177,Ipi+Pembro,SKCM,edge+targets-random,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
178,Ipi+Pembro,SKCM,node+targets,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
179,Ipi+Pembro,SKCM,node+targets-random,12,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
180,Ipi+Pembro,SKCM,node-norm+targets,12,64,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
181,Ipi+Pembro,SKCM,node-norm+targets-random,12,64,1.0,1.0,0.7142857142857143,0.9166666666666667,1,2,0,4
