,Edge,U,pval,adj_pvals
294,ZRSR2;SRSF2,3004.5,0.6908530891623934,1.0
295,ZRSR2;PRPF40B,3845.5,0.0007930428119104527,0.27467716692661565
296,ZRSR2;ASXL1,3250.0,0.20503113488122415,1.0
297,ZRSR2;EZH2,3134.5,0.39220771431914525,1.0
298,ZRSR2;SETBP1,2975.0,0.7687077713356071,1.0
299,ZRSR2;CSF3R,3241.0,0.2183711346785805,1.0
300,ZRSR2;ETV6,3054.0,0.5673239235484495,1.0
301,ZRSR2;SMC1A,3769.5,0.00198936699833581,0.39455778800326896
302,ZRSR2;PHF6,3096.0,0.47005931967008463,1.0
303,ZRSR2;BCORL1,3696.5,0.004611917591997159,0.6047778290436131
304,ERC1;PPFIBP1,3109.0,0.4440317110867845,1.0
305,ERC1;IKBKB,3063.0,0.5462727634170057,1.0
306,FES;BCR,2775.5,0.68602457450706,1.0
307,FES;HSP90AB1,2689.5,0.47982901178951287,1.0
308,FES;HSP90AA1,2715.5,0.5384306846771318,1.0
309,FES;EZR,2686.5,0.47330329069064014,1.0
310,FANCA;MSH2,3098.0,0.467509886800742,1.0
311,FANCA;MSH6,3191.5,0.2913882833813728,1.0
312,FANCA;BRIP1,3200.0,0.2773888805138298,1.0
313,FANCA;BARD1,3158.0,0.3482648881781203,1.0
314,FANCA;PALB2,3184.0,0.30282447681445,1.0
315,FANCA;ATM,3252.5,0.20411032861347012,1.0
316,FANCA;FANCD2,3171.5,0.3242105551432356,1.0
317,FANCA;FANCC,3073.0,0.5228284201495774,1.0
318,FANCA;WRN,3257.5,0.19780160047600825,1.0
319,FANCA;ERCC4,3069.5,0.5310985900139329,1.0
320,FANCA;FANCF,3161.0,0.34267766205447336,1.0
321,FANCA;HSP90AA1,3166.5,0.33355784432952895,1.0
322,FANCA;ATR,3240.0,0.22043155995673536,1.0
323,FANCA;SMARCA4,3312.0,0.13925002877319315,1.0
324,FANCA;RFWD3,3151.0,0.36120307339848257,1.0
325,FANCA;HSP90AB1,3224.5,0.2416320816926818,1.0
326,FANCA;FANCG,3205.0,0.2695586392628616,1.0
327,FANCA;BRCA2,3198.0,0.28102684874470163,1.0
328,FANCA;CHEK2,3165.5,0.33487145332613377,1.0
329,FANCA;RAD51B,3166.5,0.3328515116853914,1.0
330,FANCA;CTNNB1,3234.0,0.22850456074693937,1.0
331,FANCA;AKT1,3290.5,0.16063144514713212,1.0
332,FANCA;CDK12,3178.5,0.31283594963766126,1.0
333,FANCA;BRCA1,3261.0,0.19380382148881847,1.0
334,ERCC2;NTHL1,2769.0,0.6685600719276822,1.0
335,ERCC2;MLH1,2841.0,0.8615327619391857,1.0
336,ERCC2;MSH2,2675.0,0.44760770887225976,1.0
337,ERCC2;MSH6,2876.5,0.9606899346406116,1.0
338,ERCC2;DDB2,2777.5,0.6901820897184433,1.0
339,ERCC2;BRIP1,2650.5,0.3976116654631714,1.0
340,ERCC2;BARD1,2733.0,0.5787112311968872,1.0
341,ERCC2;PMS2,2729.0,0.5685628473981339,1.0
342,ERCC2;TP53,2692.5,0.4861360671847851,1.0
343,ERCC2;ATM,2787.5,0.7168640542254764,1.0
344,ERCC2;XPC,2759.5,0.6426036226475558,1.0
345,ERCC2;ERCC3,2793.5,0.7298267644284296,1.0
346,ERCC2;FANCD2,2623.5,0.3441580020145293,1.0
347,ERCC2;FANCC,2655.0,0.4059821111851575,1.0
348,ERCC2;WRN,2910.5,0.9465399293062094,1.0
349,ERCC2;MGMT,2693.5,0.48776196317145415,1.0
350,ERCC2;FEN1,2729.0,0.5683319620037217,1.0
351,ERCC2;ERCC4,2743.0,0.6018972855870858,1.0
352,ERCC2;ATR,2884.0,0.9817454725261517,1.0
353,ERCC2;FUBP1,2899.5,0.977551176250543,1.0
354,ERCC2;XPA,2674.0,0.4431592749287572,1.0
355,ERCC2;FANCG,2703.0,0.5087602149405097,1.0
356,ERCC2;BRCA2,2793.5,0.7325988142034474,1.0
357,ERCC2;CHEK2,2784.5,0.7087525454355957,1.0
358,ERCC2;CDK12,2837.5,0.8518844891157076,1.0
359,ERCC2;TCEA1,2833.0,0.8395386481367719,1.0
360,ERCC2;POLR2A,2753.0,0.628575861198575,1.0
361,ERCC2;POLD1,2882.0,0.9760923410063269,1.0
362,ERCC2;MYC,2708.5,0.5220564428884561,1.0
363,ERCC2;BRCA1,2766.5,0.6625173016149524,1.0
364,ERCC2;MUTYH,2734.5,0.5823852075807248,1.0
365,ERCC2;ERCC5,2742.5,0.6012995685278792,1.0
366,CHEK2;MAPK1,2801.5,0.7543031311907019,1.0
367,CHEK2;CCND1,2765.5,0.6601735881268183,1.0
368,CHEK2;MLH1,2690.5,0.4813343971435047,1.0
369,CHEK2;MSH2,2639.5,0.376846160352192,1.0
370,CHEK2;MSH6,2843.0,0.8672976627394374,1.0
371,CHEK2;CDK4,2735.5,0.5855227619793444,1.0
372,CHEK2;MDM2,2791.0,0.7262905652600283,1.0
373,CHEK2;BRIP1,2692.0,0.4845084358323456,1.0
374,CHEK2;BARD1,2783.0,0.7047785194518488,1.0
375,CHEK2;PALB2,2786.0,0.7126303036313892,1.0
376,CHEK2;STAT3,2693.0,0.4873717657196547,1.0
377,CHEK2;NBN,2757.0,0.6382823424876158,1.0
378,CHEK2;PMS2,2750.5,0.6220145191563231,1.0
379,CHEK2;RB1,2731.0,0.5748639639842736,1.0
380,CHEK2;TP53,2780.5,0.6989216894185192,1.0
381,CHEK2;ATM,2817.5,0.7972148784891174,1.0
382,CHEK2;FANCD2,2787.5,0.7165653264263943,1.0
383,CHEK2;FANCC,2766.0,0.661060098006629,1.0
384,CHEK2;WRN,2873.5,0.9522495548153747,1.0
385,CHEK2;FEN1,2606.5,0.31758160789985923,1.0
386,CHEK2;PPM1D,2698.5,0.4994283368552439,1.0
387,CHEK2;ERCC4,2557.5,0.24096278047439124,1.0
388,CHEK2;CASP3,2767.5,0.6652640598624692,1.0
389,CHEK2;PER1,2976.0,0.7663892066210457,1.0
390,CHEK2;POLE,2815.5,0.7919089642938111,1.0
391,CHEK2;SMC1A,2811.5,0.7810743817688061,1.0
