drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,1,235,1.0,1.0,0.7142857142857143,0.7096774193548387,23,8,4,7
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,2,235,0.984,0.9993412384716732,0.5952380952380952,0.5528846153846154,20,6,11,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,3,235,0.992,0.9994192799070848,0.6904761904761905,0.7352941176470589,23,11,2,6
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,4,235,1.0,1.0,0.6666666666666666,0.6187683284457478,23,8,6,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,5,235,1.0,1.0,0.6666666666666666,0.6041055718475073,24,7,7,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,6,235,0.984,0.9996878901373283,0.6190476190476191,0.6843501326259946,21,8,8,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,7,235,0.992,0.9993650793650795,0.6428571428571429,0.6147959183673469,20,8,7,7
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,8,235,0.976,0.9990925589836661,0.6190476190476191,0.6656891495601173,20,11,5,6
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,9,235,0.992,1.0,0.6190476190476191,0.6392572944297082,22,7,9,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,10,235,1.0,1.0,0.6666666666666666,0.6218750000000001,24,8,6,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,11,235,0.984,1.0,0.6190476190476191,0.6319444444444444,18,6,10,8
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,12,235,1.0,1.0,0.6428571428571429,0.596875,22,10,5,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,13,235,0.984,0.9985819625638117,0.6190476190476191,0.5833333333333333,22,14,2,4
