,Edge,U,pval,adj_pvals
311,CTNNB1;PKM,118.0,0.9567530269617555,1.0
312,CTNNB1;FOXO3,120.0,0.8993001454102022,1.0
313,CTNNB1;SMARCA4,120.0,0.8993001454102022,1.0
314,CTNNB1;HDAC1,93.5,0.3764973964282129,1.0
315,CTNNB1;SRC,156.0,0.10699703778518792,1.0
316,CTNNB1;AR,92.5,0.355191225227216,1.0
317,CTNNB1;ESR1,151.5,0.14629299207586444,1.0
318,CTNNB1;AKT1,147.0,0.19680680687475194,1.0
319,CTNNB1;MUC1,72.5,0.1118934404914688,1.0
320,CTNNB1;CHD8,158.0,0.12753427914718235,1.0
321,CTNNB1;IGF1R,148.0,0.1825249894224138,1.0
322,UBB;CBL,126.0,0.7310628206263879,1.0
323,UBB;UCHL1,80.0,0.19431397932346697,1.0
324,UBB;BIRC2,142.0,0.35384896713169955,1.0
325,PLCG1;ERBB2,141.0,0.09362109888291796,1.0
326,PLCG1;PIK3R1,130.5,0.27529428465905725,1.0
327,PLCG1;ERBB4,127.0,0.4724231348706557,1.0
328,PLCG1;EGFR,144.5,0.08219442347230808,1.0
329,PLCG1;CBL,162.0,0.08894299781142084,1.0
330,PLCG1;ALK,110.5,0.6968135030613116,1.0
331,PLCG1;GRB2,123.5,0.5854264017010238,1.0
332,PLCG1;JAK2,113.0,0.9209959689377548,1.0
333,PLCG1;PLCG2,115.0,0.9847681046175956,1.0
334,PLCG1;ERBB3,130.5,0.4498306349072191,1.0
335,PLCG1;PIK3CA,130.5,0.27529428465905725,1.0
336,GRB2;CBL,164.0,0.0757709709008252,1.0
337,GRB2;SHC2,119.0,0.89809893029835,1.0
338,GRB2;ERBB3,124.0,0.6077804301465527,1.0
339,GRB2;ERBB2,120.0,0.6458230910879958,1.0
340,GRB2;EGFR,120.0,0.6458230910879958,1.0
341,GRB2;ERBB4,124.0,0.4802112074856302,1.0
342,GRB2;SRC,124.0,0.4802112074856302,1.0
343,GRB2;SHC3,130.5,0.5735847919044927,1.0
344,GRB2;JAK2,83.0,0.19728340812079737,1.0
345,GRB2;ALK,124.0,0.4802112074856302,1.0
346,GRB2;PTPN11,130.5,0.27529428465905725,1.0
347,GRB2;PIK3R1,112.0,0.6458230910879958,1.0
348,GRB2;IGF1R,120.0,0.6458230910879958,1.0
349,GRB2;SHC1,104.0,0.37017873328529394,1.0
350,PLCG2;ERBB2,150.0,0.19345008510429995,1.0
351,PLCG2;EGFR,136.5,0.44156963877989375,1.0
352,PLCG2;SRC,134.0,0.49692593146292363,1.0
353,PLCG2;PIK3R1,105.0,0.6835668434011559,1.0
354,SRC;PIK3R2,116.0,1.0,1.0
355,SRC;KRAS,120.0,0.6458230910879958,1.0
