,Edge,U,pval,adj_pvals
261,FYN;FCER1G,571.0,0.05902073496011189,0.8561562035177678
262,FYN;CAV1,359.5,0.02384246311526822,0.7546419893963852
263,FYN;PIK3R1,482.0,0.7225227902500304,1.0
264,FYN;LYN,478.0,0.8114257751654234,1.0
265,FYN;CD36,480.5,0.6492169723735985,1.0
266,FYN;SRC,406.0,0.19053025157854941,1.0
267,FYN;PIK3CB,442.0,0.674832115842272,1.0
268,FYN;SHC1,521.0,0.2770959864067869,1.0
269,FYN;GRB2,562.5,0.050698475142659474,0.8248778928616487
270,TNF;CCL2,465.0,1.0,1.0
271,TNF;NFKB1,435.0,0.1677767345499046,1.0
272,TNF;IL2,465.0,1.0,1.0
273,TNF;IL4,465.0,1.0,1.0
274,TNF;TLR2,465.0,1.0,1.0
275,TNF;IL1A,465.0,1.0,1.0
276,TNF;IL1B,465.0,1.0,1.0
277,TNF;IL18,465.0,1.0,1.0
278,TNF;CXCL10,465.0,1.0,1.0
279,TNF;FN1,465.0,1.0,1.0
280,TNF;FASLG,465.0,1.0,1.0
281,TNF;JUN,509.5,0.18212933708819645,1.0
282,TNF;TLR4,465.0,1.0,1.0
283,TNF;CXCL1,465.0,1.0,1.0
284,TNF;IL6,465.0,1.0,1.0
285,TNF;IL1R1,435.0,0.3213144887491235,1.0
286,TNF;TRAF6,450.0,0.34163104673950406,1.0
287,TNF;CCL4,465.0,1.0,1.0
288,IL1B;CSF3,465.0,1.0,1.0
289,IL1B;CCL2,465.0,1.0,1.0
290,IL1B;NFKB1,435.0,0.1677767345499046,1.0
291,IL1B;IL2,465.0,1.0,1.0
292,IL1B;IL4,465.0,1.0,1.0
293,IL1B;PYCARD,450.0,0.5767042354125815,1.0
294,IL1B;IL1RN,496.0,0.4532402762462202,1.0
295,IL1B;TLR2,465.0,1.0,1.0
296,IL1B;IL1A,465.0,1.0,1.0
297,IL1B;IL1R2,493.0,0.49888122834749593,1.0
298,IL1B;CXCL10,465.0,1.0,1.0
299,IL1B;JUN,509.5,0.18212933708819645,1.0
300,IL1B;IL6,465.0,1.0,1.0
301,IL1B;CXCL2,465.0,1.0,1.0
302,IL1B;TRAF6,450.0,0.34163104673950406,1.0
303,IL1B;NLRP3,450.0,0.5767042354125815,1.0
304,IL1B;IRAK1,482.0,0.7633089544455703,1.0
305,IL1B;CASP1,450.0,0.5767042354125815,1.0
306,IL1B;IL18,465.0,1.0,1.0
307,IL1B;CCL20,465.0,1.0,1.0
308,IL1B;IL3,465.0,1.0,1.0
309,IL1B;MYD88,391.0,0.08566138493390169,0.9664531853301599
310,IL1B;TLR4,465.0,1.0,1.0
311,IL1B;IL1R1,405.0,0.04546464041501961,0.7933250298504871
312,IL1B;IL1RAP,434.0,0.59802889944396,1.0
313,IL1B;CXCL1,465.0,1.0,1.0
314,IL2;CSF3,465.0,1.0,1.0
315,IL2;IL4,465.0,1.0,1.0
316,IL2;IL6,465.0,1.0,1.0
317,IL2;IL7,465.0,1.0,1.0
318,IL2;IL1A,465.0,1.0,1.0
319,IL2;IL3,465.0,1.0,1.0
320,IL6;CSF3,465.0,1.0,1.0
321,IL6;CCL2,465.0,1.0,1.0
322,IL6;NFKB1,435.0,0.1677767345499046,1.0
323,IL6;IL4,465.0,1.0,1.0
324,IL6;IL1A,465.0,1.0,1.0
325,IL6;IL7,465.0,1.0,1.0
326,IL6;EGFR,465.0,1.0,1.0
327,IL6;IL18,465.0,1.0,1.0
328,IL6;IL3,465.0,1.0,1.0
329,IL6;CXCL10,465.0,1.0,1.0
330,IL6;CD163,465.0,1.0,1.0
331,IL6;JUN,509.5,0.18212933708819645,1.0
332,IL6;MMP9,451.0,0.7249250793132964,1.0
333,IL6;TLR4,465.0,1.0,1.0
334,IL6;JAK2,465.0,1.0,1.0
335,IL6;CXCL1,465.0,1.0,1.0
336,IL6;CXCL2,465.0,1.0,1.0
337,IL6;IL1R1,435.0,0.3213144887491235,1.0
338,IL4;IL3,465.0,1.0,1.0
339,IL4;IL13RA2,465.0,1.0,1.0
340,IL4;IL1A,465.0,1.0,1.0
341,IL4;IL7,465.0,1.0,1.0
342,KDR;HGF,450.0,0.34163104673950406,1.0
343,KDR;PLCG1,480.0,0.34163104673950406,1.0
344,KDR;ANGPT1,466.0,0.9813476601729604,1.0
345,KDR;ANGPT2,450.0,0.34163104673950406,1.0
346,KDR;SHC2,450.0,0.34163104673950406,1.0
347,KDR;SRC,465.0,1.0,1.0
348,KDR;PIK3CA,466.0,0.9813476601729604,1.0
349,KDR;SHC1,450.0,0.34163104673950406,1.0
350,KDR;CAV1,480.0,0.34163104673950406,1.0
351,KDR;GRB2,450.0,0.34163104673950406,1.0
352,ARG1;ASL,465.0,1.0,1.0
353,ARG1;NOS2,465.0,1.0,1.0
354,ARG2;NOS2,480.5,0.6492169723735985,1.0
355,ARG2;ASL,466.0,0.9888634840504033,1.0
356,ASS1;ASL,374.0,0.02604897051124718,0.7591716384490491
357,ASS1;NOS2,391.5,0.057069069591996716,0.8379409730337078
358,ASL;NOS2,495.0,0.1677767345499046,1.0
359,NGFR;BDNF,465.0,1.0,1.0
360,NGFR;NTF3,465.0,1.0,1.0
361,NGFR;NGF,465.0,1.0,1.0
362,NGFR;NTRK1,465.0,1.0,1.0
363,NGFR;NTRK2,465.0,1.0,1.0
364,NGFR;NTF4,465.0,1.0,1.0
365,NGFR;TRAF6,450.0,0.34163104673950406,1.0
366,TYROBP;FCER1G,465.0,1.0,1.0
367,TYROBP;ITGB2,449.5,0.32524398000988797,1.0
368,TYROBP;OSCAR,465.0,1.0,1.0
369,LYN;FCER1G,546.0,0.17056432273469646,1.0
370,LYN;SRC,496.0,0.3051842753550811,1.0
371,LYN;PIK3CD,480.0,0.6601626746547786,1.0
372,LYN;SHC1,435.0,0.46818642969091107,1.0
373,LYN;CD36,449.5,0.5636330015561379,1.0
374,LYN;PIK3CG,480.0,0.5767042354125815,1.0
375,LYN;PIK3R1,419.5,0.17239428792521316,1.0
376,LYN;PIK3CB,523.0,0.15736789497411874,1.0
377,PLCG1;PIK3R1,465.0,1.0,1.0
378,PLCG1;NTRK1,465.0,1.0,1.0
379,PLCG1;RASGRP1,477.0,0.8676013911125171,1.0
380,PLCG1;EGFR,465.0,1.0,1.0
381,PLCG1;ALK,519.0,0.26615039822422837,1.0
382,PLCG1;NTRK2,465.0,1.0,1.0
383,PLCG1;GRB2,466.0,0.9865885943419103,1.0
384,PLCG1;MET,285.0,0.003305441670508008,0.7546419893963852
385,PLCG1;JAK2,450.0,0.34163104673950406,1.0
386,PLCG1;ERBB3,468.0,0.9509790336337242,1.0
387,PLCG1;PIK3CA,450.0,0.34163104673950406,1.0
388,GRB2;SHC2,450.0,0.34163104673950406,1.0
389,GRB2;ERBB3,503.0,0.3564448097232884,1.0
390,GRB2;EGFR,465.0,1.0,1.0
391,GRB2;NTRK2,465.0,1.0,1.0
392,GRB2;IRS1,465.0,1.0,1.0
393,GRB2;MET,350.0,0.05463195159719403,0.8276203231601803
394,GRB2;SH2B1,454.0,0.7501851948871846,1.0
395,GRB2;SH2B3,492.0,0.702227202463143,1.0
396,GRB2;ABL1,429.0,0.525225176122194,1.0
397,GRB2;SRC,480.5,0.5636330015561379,1.0
398,GRB2;SHC3,450.0,0.34163104673950406,1.0
399,GRB2;JAK2,450.0,0.34163104673950406,1.0
400,GRB2;ALK,579.0,0.018322163611031582,0.7546419893963852
401,GRB2;PIK3R1,480.0,0.34163104673950406,1.0
402,GRB2;NTRK1,465.0,1.0,1.0
403,GRB2;IGF1R,465.0,1.0,1.0
404,GRB2;SHC1,437.0,0.3552144600001229,1.0
405,GRB2;FRS2,451.5,0.6167512987554857,1.0
406,SRC;MMP2,510.0,0.5154639483054047,1.0
407,SRC;CSK,409.0,0.4021642983902629,1.0
408,SRC;PIK3R2,510.0,0.08669181396649275,0.9664531853301599
409,SRC;RAC2,509.0,0.525804738756833,1.0
410,SRC;KRAS,480.0,0.34163104673950406,1.0
411,SRC;ITGA2B,495.0,0.5091895820130194,1.0
412,SRC;PIK3R3,480.0,0.34163104673950406,1.0
413,SRC;PIK3CA,465.0,1.0,1.0
414,SRC;SHC2,465.0,1.0,1.0
415,SRC;ERBB3,506.5,0.3376827044446491,1.0
416,SRC;EGFR,465.0,1.0,1.0
417,SRC;IRS1,465.0,1.0,1.0
418,SRC;FOS,681.0,0.001878133573241281,0.7537576073941675
419,SRC;MET,500.0,0.5676431193650984,1.0
420,SRC;CAV1,480.0,0.34163104673950406,1.0
421,SRC;CAV3,465.0,1.0,1.0
422,SRC;NRAS,480.0,0.34163104673950406,1.0
423,SRC;JUN,509.5,0.18212933708819645,1.0
424,SRC;MMP9,541.0,0.07747803174839896,0.9664531853301599
425,SRC;TRAF6,525.0,0.04546464041501961,0.7933250298504871
426,SRC;SHC1,496.0,0.3051842753550811,1.0
427,SRC;PIK3CD,510.0,0.08669181396649275,0.9664531853301599
428,SRC;SHC3,480.0,0.34163104673950406,1.0
429,SRC;PIK3CG,480.0,0.34163104673950406,1.0
430,SRC;IGF1R,465.0,1.0,1.0
431,SRC;HRAS,495.0,0.1677767345499046,1.0
432,SRC;PIK3CB,510.0,0.08669181396649275,0.9664531853301599
433,SRC;AKT1,465.0,1.0,1.0
434,SRC;PIK3R1,465.0,1.0,1.0
435,TLR4;NFKB1,435.0,0.1677767345499046,1.0
436,TLR4;TLR2,465.0,1.0,1.0
437,TLR4;IL1A,465.0,1.0,1.0
438,TLR4;CXCL10,465.0,1.0,1.0
439,TLR4;CAV1,465.0,1.0,1.0
440,TLR4;FN1,465.0,1.0,1.0
441,TLR4;TLR1,450.0,0.34163104673950406,1.0
442,TLR4;IRAK1,491.0,0.6481378666972165,1.0
443,TLR4;CD36,465.0,1.0,1.0
444,TLR4;MYD88,411.0,0.2312556058379187,1.0
445,TLR4;TLR6,495.0,0.3213144887491235,1.0
446,TLR4;TRAF6,450.0,0.34163104673950406,1.0
447,EGFR;PIK3R2,525.0,0.04546464041501961,0.7933250298504871
448,EGFR;HGF,465.0,1.0,1.0
449,EGFR;KRAS,465.0,1.0,1.0
450,EGFR;PIK3R3,480.0,0.34163104673950406,1.0
451,EGFR;PIK3CA,465.0,1.0,1.0
452,EGFR;SHC2,465.0,1.0,1.0
453,EGFR;ERBB3,445.5,0.6204275526782519,1.0
454,EGFR;NRAS,465.0,1.0,1.0
455,EGFR;ERRFI1,401.0,0.35963198635584415,1.0
456,EGFR;PIK3R1,465.0,1.0,1.0
457,EGFR;IGFBP3,480.0,0.34163104673950406,1.0
458,EGFR;JAK2,465.0,1.0,1.0
459,EGFR;MET,461.0,0.9531554316969333,1.0
460,EGFR;SHC1,480.0,0.34163104673950406,1.0
461,EGFR;SHC3,465.0,1.0,1.0
462,EGFR;CAV1,465.0,1.0,1.0
463,EGFR;INS,465.0,1.0,1.0
464,EGFR;HRAS,465.0,1.0,1.0
465,EGFR;IGF1,465.0,1.0,1.0
466,EGFR;IGF1R,465.0,1.0,1.0
467,EGFR;KITLG,465.0,1.0,1.0
468,EGFR;PIK3CB,525.0,0.04546464041501961,0.7933250298504871
469,FN1;TIMP1,525.0,0.04546464041501961,0.7933250298504871
470,FN1;COMP,495.0,0.3213144887491235,1.0
471,FN1;HGF,465.0,1.0,1.0
472,FN1;THBS1,421.5,0.49514015539860656,1.0
473,FN1;ITGA2B,424.0,0.4145830481353391,1.0
474,FN1;ITGA3,485.0,0.7784142098871392,1.0
475,FN1;ABL1,407.0,0.32023663852961337,1.0
476,FN1;IGFBP3,465.0,1.0,1.0
477,FN1;ITGB2,398.0,0.30338330359324195,1.0
478,TLR2;NFKB1,435.0,0.1677767345499046,1.0
479,TLR2;TLR6,480.5,0.6492169723735985,1.0
480,TLR2;TLR1,450.0,0.34163104673950406,1.0
481,TLR2;IRAK1,445.0,0.7219223118496323,1.0
482,TLR2;MYD88,396.5,0.14335856336596606,1.0
483,TLR2;CD36,465.0,1.0,1.0
484,MET;HGF,332.0,0.024094724434049173,0.7546419893963852
485,MET;KRAS,336.0,0.03545626173730716,0.7933250298504871
486,MET;PIK3CA,345.0,0.050487619225937246,0.8248778928616487
487,MET;ERBB3,324.0,0.02147610722201969,0.7546419893963852
488,MET;NRAS,334.0,0.032692295300962286,0.7933250298504871
489,MET;HRAS,333.0,0.031380929015121926,0.7933250298504871
490,MET;SHC1,314.0,0.01377130293632519,0.7546419893963852
491,IGF1;IGFBP5,496.0,0.1538274663083508,1.0
492,IGF1;IRS1,465.0,1.0,1.0
493,IGF1;IGFBP3,465.0,1.0,1.0
494,IGF1;NTRK1,465.0,1.0,1.0
495,IGF1;IGF1R,465.0,1.0,1.0
496,IGF1;INS,465.0,1.0,1.0
497,IGF1;IGF2,465.0,1.0,1.0
498,IGF1;IGFALS,465.0,1.0,1.0
499,NCOR1;PPARG,411.0,0.4402062794099799,1.0
500,NCOR1;NCOR2,400.0,0.3520905215478859,1.0
501,NCOR1;RXRA,452.5,0.8625430887953679,1.0
502,NCOR1;PPARA,355.0,0.11418158195433092,1.0
503,NCOR1;THRB,629.5,0.017970906210559225,0.7546419893963852
504,CALML4;KRAS,450.0,0.34163104673950406,1.0
505,CALML4;CALM3,450.0,0.34163104673950406,1.0
506,CALML4;CALML6,465.0,1.0,1.0
507,CALML4;CALML3,465.0,1.0,1.0
508,CALML4;NOS2,465.0,1.0,1.0
509,CALML4;CAV1,480.0,0.34163104673950406,1.0
510,CALML4;NRAS,450.0,0.34163104673950406,1.0
511,CALML4;CALML5,465.0,1.0,1.0
512,CALML4;HRAS,450.0,0.34163104673950406,1.0
513,CALM3;KRAS,450.0,0.34163104673950406,1.0
514,CALM3;CAV1,464.0,0.9813476601729604,1.0
515,CALM3;HRAS,450.0,0.34163104673950406,1.0
516,CALM3;NOS2,480.0,0.34163104673950406,1.0
517,CALM3;NRAS,450.0,0.34163104673950406,1.0
518,CALM3;CALML5,450.0,0.34163104673950406,1.0
519,CALM3;CALML3,450.0,0.34163104673950406,1.0
520,CALM3;CALML6,450.0,0.34163104673950406,1.0
521,CALML3;KRAS,450.0,0.34163104673950406,1.0
522,CALML3;CALML6,465.0,1.0,1.0
523,CALML3;HRAS,450.0,0.34163104673950406,1.0
524,CALML3;CAV1,480.0,0.34163104673950406,1.0
525,CALML3;NOS2,465.0,1.0,1.0
526,CALML3;NRAS,450.0,0.34163104673950406,1.0
527,CALML3;CALML5,465.0,1.0,1.0
528,CALML6;KRAS,450.0,0.34163104673950406,1.0
529,CALML6;NRAS,450.0,0.34163104673950406,1.0
530,CALML6;CALML5,465.0,1.0,1.0
531,CALML6;HRAS,450.0,0.34163104673950406,1.0
532,CALML6;CAV1,480.0,0.34163104673950406,1.0
533,CALML6;NOS2,465.0,1.0,1.0
534,CALML5;KRAS,465.0,1.0,1.0
535,CALML5;NOS2,465.0,1.0,1.0
